country	recorded	unrecorded	total	beer	wine	spirits	other
Moldova	8.22	10.00	18.22	4.57	4.67	4.42	0.00
Czech Republic	14.97	1.48	16.45	8.51	2.33	3.59	0.39
Hungary	12.27	4.00	16.27	4.42	4.94	3.02	0.14
Russia	11.03	4.73	15.76	3.65	0.10	6.88	0.34
Ukraine	8.10	7.50	15.60	2.69	0.58	5.21	0.02
Estonia	13.77	1.80	15.57	5.53	1.09	9.19	0.43
Andorra	14.08	1.40	15.48	3.93	5.69	3.14	0.00
Romania	11.30	4.00	15.30	4.07	2.33	4.14	0.00
Slovenia	12.19	3.00	15.19	4.10	5.10	1.33	0.00
Belarus	11.22	3.91	15.13	1.84	0.80	4.08	2.67
Croatia	12.61	2.50	15.11	4.66	5.80	1.91	0.14
Lithuania	12.03	3.00	15.03	5.60	1.80	4.50	0.60
South Korea	11.80	3.00	14.80	2.14	0.06	9.57	0.04
Portugal	12.45	2.10	14.55	3.75	6.65	1.27	0.51
Ireland	13.39	1.00	14.41	7.04	2.75	2.51	1.09
France	13.30	0.36	13.66	2.31	8.14	2.62	0.17
United Kingdom	11.67	1.70	13.37	4.93	3.53	2.41	0.67
Denmark	11.37	2.00	13.37	5.06	4.43	1.78	0.00
Slovakia	10.33	3.00	13.33	3.90	1.70	5.40	0.00
Poland	9.55	3.70	13.25	5.27	1.23	2.97	0.00
Austria	12.60	0.64	13.24	6.70	4.10	1.60	0.40
Luxembourg	13.01	1.00	13.01	1.59	8.16	2.00	0.00
Germany	11.81	1.00	12.81	6.22	3.15	2.30	0.00
Finland	9.72	2.80	12.52	4.59	2.24	2.82	0.31
Latvia	9.50	3.00	12.50	3.61	1.10	6.24	0.10
Bulgaria	11.24	1.20	12.44	3.53	2.44	4.88	0.10
Nigeria	9.78	2.50	12.28	0.54	0.01	0.02	9.17
Uganda	10.93	1.00	11.93	0.51	0.00	0.18	14.52
Saint Lucia	11.35	0.50	11.85	3.49	0.71	8.21	0.31
Spain	10.22	1.40	11.62	4.52	3.59	1.31	0.61
Armenia	10.05	1.30	11.35	1.05	0.39	0.65	9.36
Serbia	9.97	1.12	11.09	4.40	2.21	3.42	0.04
Switzerland	10.56	0.50	11.06	3.10	5.10	1.80	0.10
Kazakhstan	6.06	4.90	10.96	1.69	0.30	4.19	0.01
Belgium	9.77	1.00	10.77	5.49	3.55	0.62	0.03
Greece	8.95	1.80	10.75	2.20	4.51	2.38	0.13
Italy	8.33	2.35	10.68	1.73	6.38	0.42	0.00
Azerbaijan	7.30	3.30	10.60	7.00	0.03	0.97	0.00
Seychelles	9.59	1.00	10.59	7.15	3.15	1.59	0.00
Grenada	9.85	0.50	10.35	3.16	0.42	7.15	0.04
Sweden	6.70	3.60	10.30	2.60	2.90	1.10	0.00
Palau	9.10	1.00	10.10	8.68	0.52	2.10	0.00
Netherlands	9.55	0.50	10.05	4.72	3.26	1.56	0.00
Australia	9.89	0.13	10.02	4.56	3.12	1.16	1.02
Argentina	8.00	2.00	10.00	2.49	4.62	0.52	0.20
Niue	8.85	1.00	9.85	4.63	0.11	2.95	0.00
Rwanda	6.80	3.00	9.80	0.54	0.00	0.01	6.44
Canada	7.77	2.00	9.77	4.10	1.50	2.10	0.00
Sierra Leone	6.72	3.00	9.72	0.46	0.01	0.02	6.06
Bosnia and Herzegovina	9.63	0.00	9.63	2.22	0.34	7.08	0.00
New Zealand	9.12	0.50	9.62	4.09	3.04	1.37	0.81
Namibia	5.87	3.75	9.62	4.35	0.48	1.30	0.35
Guyana	7.50	2.00	9.50	1.14	0.31	5.70	0.01
Nepal	7.20	2.20	9.48	1.15	0.00	0.07	0.00
Burundi	6.47	3.00	9.47	1.16	0.01	0.00	5.07
South Africa	6.96	2.50	9.46	3.93	1.17	1.15	0.75
United States	8.44	1.00	9.44	4.47	1.36	2.65	0.00
Saint Kitts and Nevis	8.93	0.50	9.43	3.98	0.18	6.00	0.10
Ecuador	4.01	5.37	9.38	2.30	0.07	1.69	0.00
Gabon	7.32	2.00	9.32	5.38	0.80	1.69	0.00
Cyprus	8.26	1.00	9.26	3.25	2.97	2.95	0.12
Brazil	6.16	3.00	9.16	3.36	0.33	2.49	0.03
Bahamas	8.16	0.60	8.76	3.99	1.55	5.27	0.23
São Tomé and Príncipe	5.82	2.92	8.74	1.12	3.40	0.83	0.00
Chile	6.55	2.00	8.55	2.03	2.59	2.16	0.04
Macedonia	5.61	2.90	8.51	2.11	1.62	2.08	0.00
Mexico	5.02	3.40	8.42	3.96	0.02	1.09	0.03
Venezuela	6.83	1.40	8.23	5.19	0.07	1.65	0.00
Uruguay	6.14	2.00	8.14	1.33	3.95	1.21	0.06
Japan	7.83	0.20	8.03	1.72	0.29	3.37	2.61
Botswana	4.96	3.00	7.96	2.56	0.04	0.00	1.88
Paraguay	6.38	1.50	7.88	3.48	0.97	1.77	0.19
Dominica	7.34	0.50	7.84	0.50	0.80	6.69	0.07
Norway	6.21	1.60	7.81	2.98	2.00	1.28	0.11
Cameroon	4.97	2.60	7.57	2.05	0.05	0.00	2.60
Antigua and Barbuda	6.76	0.46	7.22	2.67	1.70	5.04	0.09
Thailand	6.37	0.71	7.08	1.75	0.02	4.69	0.00
Burkina Faso	4.48	2.50	6.98	0.41	0.09	0.42	3.77
Barbados	6.41	0.50	6.91	2.90	0.73	3.78	0.17
Peru	2.90	4.00	6.90	2.16	0.32	0.61	0.00
Panama	5.85	1.00	6.85	3.71	0.22	1.91	0.01
Tanzania	4.75	2.00	6.75	0.57	0.02	0.15	4.51
Laos	5.73	1.00	6.73	1.42	0.03	4.35	0.00
Albania	4.58	2.10	6.68	1.61	0.94	2.30	0.02
Haiti	5.99	0.62	6.61	0.01	0.01	5.20	0.00
Ivory Coast	4.48	2.00	6.48	0.61	0.33	0.05	3.55
Dominican Republic	5.76	0.65	6.41	2.69	0.14	2.92	0.01
Georgia	3.90	2.50	6.40	0.76	0.83	2.56	0.02
Philippines	4.38	2.00	6.38	1.29	0.02	2.91	0.00
Iceland	5.91	0.40	6.31	3.67	1.95	1.33	0.10
Trinidad and Tobago	5.78	0.50	6.28	3.10	0.11	2.78	0.04
Colombia	4.17	2.00	6.17	2.71	0.08	1.44	0.02
Suriname	5.19	0.90	6.09	2.00	0.13	3.26	0.05
Equatorial Guinea	5.31	0.77	6.08	0.45	4.18	0.00	0.00
Belize	5.07	1.00	6.07	3.89	0.13	1.78	0.01
China	4.21	1.70	5.91	1.50	0.15	2.51	0.23
Puerto Rico	5.47	0.28	5.75	3.68	0.34	1.35	0.05
Swaziland	5.70	0.00	5.70	1.64	0.21	0.15	3.05
Costa Rica	4.15	1.40	5.55	2.29	0.18	1.71	0.02
Lesotho	1.90	3.65	5.55	1.24	0.00	0.01	0.69
Cuba	4.41	1.10	5.51	1.48	0.05	2.94	0.01
Federated States of Micronesia	4.50	1.00	5.50	1.43	1.31	0.60	0.00
Saint Vincent and the Grenadines	4.94	0.50	5.44	2.55	0.12	3.16	0.05
Angola	3.80	1.60	5.40	1.81	1.37	1.12	0.41
Nicaragua	3.77	1.60	5.37	1.13	0.03	2.55	0.00
Bolivia	2.62	2.50	5.12	2.17	0.06	0.61	0.00
Kyrgyzstan	3.19	1.90	5.09	0.45	0.10	2.26	0.01
Zimbabwe	4.08	1.00	5.08	0.96	0.19	0.06	2.61
Liberia	3.47	1.59	5.06	0.30	0.01	3.16	0.01
Jamaica	3.50	1.50	5.00	1.49	0.11	1.80	0.10
Cape Verde	2.06	2.90	4.96	0.36	1.99	0.14	0.00
Nauru	2.33	2.50	4.83	2.24	0.08	0.00	0.00
Samoa	3.80	1.00	4.80	3.31	0.08	0.24	0.00
Cambodia	1.77	3.00	4.77	0.74	0.02	1.21	0.00
Turkmenistan	2.33	2.30	4.63	0.21	0.90	1.22	0.00
Honduras	3.08	1.40	4.48	1.29	0.04	1.87	0.00
Chad	0.38	4.00	4.38	0.23	0.01	0.02	0.15
Malta	3.85	0.42	4.27	1.79	1.45	1.86	0.15
Republic of the Congo	2.04	2.23	4.20	1.76	0.00	0.11	0.12
Kenya	1.64	2.50	4.14	0.84	0.02	0.51	0.55
Guatemala	2.43	1.60	4.03	1.12	3.92	1.20	0.05
Ethiopia	0.52	3.50	4.02	0.19	0.01	0.13	0.25
