Name	Pennant	Builder	Laid Down	Launched	Commissioned
Chanticleer	U05	Denny, Dunbarton	6 June 1941	24 September 1942	29 March 1943
Crane	U23	Denny, Dunbarton	13 June 1941	9 November 1942	10 May 1943
Cygnet	U38	Cammell Laird, Birkenhead	30 August 1941	28 July 1942	1 December 1942
Kite	U87	Cammell Laird, Birkenhead	25 September 1941	13 October 1942	1 March 1943
Lapwing	U62	Scotts, Greenock	17 December 1941	16 July 1943	21 March 1944
Lark	U11	Scotts, Greenock	5 May 1942	28 August 1943	10 April 1944
Magpie	U82	Thornycroft, Woolston	30 December 1941	24 March 1943	30 August 1943
Peacock	U96	Thornycroft, Woolston	29 November 1942	11 December 1943	10 May 1944
Pheasant	U49	Yarrow, Scotstoun	17 March 1942	21 December 1942	12 May 1943
Redpole	U69	Yarrow, Scotstoun	18 May 1942	25 February 1943	24 June 1943
Snipe	U20	Denny, Dunbarton	21 September 1944	20 December 1945	9 September 1946
Sparrow	U71	Denny, Dunbarton	30 October 1944	18 February 1946	16 December 1946
Starling	U66	Fairfield, Govan	21 October 1941	14 October 1942	1 April 1943
Woodcock	U90	Fairfield, Govan	21 October 1941	26 November 1942	29 May 1943
