Year	Nominated Work	Award	Category	Result
2000	Herself	M6 Music Awards	Most Promising Newcomer	Won
2001	Herself	NRJ Awards	Best Newcomer	Won
2001	Moializee.com	NRJ Awards	Best Website	Won
2001	Herself	Victoires de la Musique	Revelation of the Year	Nominated
2001	Moi... Lolita	NME (UK)	Single of the Week	Won
2002	Herself	World Music Awards	Best Selling French Artist	Won
2002	Herself	NRJ Music Awards	Best Francophone Female Artist	Nominated
2003	Herself	SACEM	Prix Vincent Scotto for the Best National Artist	Honored
2008	Herself	AMPROFON	Lunas del Auditorio for Best Foreign Artist	Won
2008	Herself	MTV Latin America	International Revelation	Nominated
