Call sign	Frequency MHz	City of license	ERP W	Class	FCC info
W283AN	104.5	Altamonte Springs, Florida	10	D	FCC
W283AM	104.5	Arcadia, Florida	27	D	FCC
W298AM	107.5	Aurora, Florida	13	D	FCC
W202CB	88.3	Bayonet Point, Florida	27	D	FCC
W207BU	89.3	Tarpon Springs, Florida	10	D	FCC
W220DQ	91.9	Belle Glade, Florida	13	D	FCC
W241AX	96.1	Boca Raton, Florida	13	D	FCC
W246BT	97.1	Clermont, Florida	27	D	FCC
W284AV	104.7	Deltona, Florida	10	D	FCC
W228BV	94.5	Fort Lauderdale, Florida	80	D	FCC
W275AX	102.9	Fort Meade, Florida	27	D	FCC
W244BJ	96.7	Frostproof, Florida	19	D	FCC
W282BG	104.3	Grant, Florida	40	D	FCC
W233AV	94.5	Gulfport, Florida	10	D	FCC
W245BC	96.9	Lauderdale Lakes, Florida	67	D	FCC
W243AR	96.5	Lehigh Acres, Florida	28	D	FCC
W233AP	94.5	Oakland Park, Florida	27	D	FCC
W273BR	102.5	Palm Coast, Florida	10	D	FCC
W280DU	103.9	West Palm Beach, Florida	10	D	FCC
W237BD	95.3	Pompano Beach, Florida	80	D	FCC
W214BV	90.7	Port Charlotte, Florida	10	D	FCC
W252BC	98.3	Port St. Lucie, Florida	19	D	FCC
W236AO	95.1	Port St. Lucie, Florida	13	D	FCC
W251BF	98.1	Punta Gorda, Florida	170	D	FCC
