Date	Course	Distance	Type	Winner
16 May	Vatican City to Formia	km (mi)	Plain stage	Wilfried Reybrouck ( BEL )
17 May	Formia to Pompei	km (mi)	Plain stage	Patrick Sercu ( BEL )
18 May	Pompei to Sorrento	km (mi)	Stage with mountain(s)	José Manuel Fuente ( ESP )
19 May	Rest day	Rest day	Rest day	Rest day
20 May	Sorrento to Sapri	km (mi)	Plain stage	Roger De Vlaeminck ( BEL )
21 May	Sapri to Taranto	km (mi)	Plain stage	Piermattia Gavazzi ( ITA )
22 May	Taranto to Foggia	km (mi)	Plain stage	Franco Bitossi ( ITA )
23 May	Foggia to Chieti	km (mi)	Plain stage	Ugo Colombo ( ITA )
24 May	Chieti to Macerata	km (mi)	Plain stage	Franco Bitossi ( ITA )
25 May	Macerata to Carpegna	km (mi)	Stage with mountain(s)	José Manuel Fuente ( ESP )
26 May	Carpegna to Modena	km (mi)	Plain stage	Patrick Sercu ( BEL )
27 May	Modena to Il Ciocco	km (mi)	Stage with mountain(s)	José Manuel Fuente ( ESP )
27 May	Il Ciocco to Forte dei Marmi	km (mi)	Plain stage	Patrick Sercu ( BEL )
28 May	Forte dei Marmi to Forte dei Marmi	km (mi)	Individual time trial	Eddy Merckx ( BEL )
29 May	Forte dei Marmi to Pietra Ligure	km (mi)	Plain stage	Enrico Paolini ( ITA )
30 May	Pietra Ligure to Sanremo	km (mi)	Stage with mountain(s)	Giuseppe Perletto ( ITA )
31 May	Sanremo to Valenza	km (mi)	Plain stage	Ercole Gualazzini ( ITA )
1 June	Rest day	Rest day	Rest day	Rest day
2 June	Valenza to Monte Generoso	km (mi)	Stage with mountain(s)	José Manuel Fuente ( ESP )
3 June	Como to Iseo	km (mi)	Stage with mountain(s)	Santiago Lazcano ( ESP )
4 June	Iseo to Sella Valsugana	km (mi)	Stage with mountain(s)	Franco Bitossi ( ITA )
5 June	Borgo Valsugana to Pordenone	km (mi)	Plain stage	Enrico Paolini ( ITA )
6 June	Pordenone to Tre Cime di Lavaredo	km (mi)	Stage with mountain(s)	José Manuel Fuente ( ESP )
7 June	Misurina to Bassano del Grappa	km (mi)	Stage with mountain(s)	Eddy Merckx ( BEL )
8 June	Bassano del Grappa to Milan	km (mi)	Plain stage	Marino Basso ( ITA )
9 June	Giro di Milano	km (mi)	Plain stage	Gianni Motta ( ITA )
Total	Total	km (mi)	km (mi)	km (mi)
