Place	Player	Country	Score	To par	Money ( $ )
T1	Willie Macfarlane	Scotland	74-67-72-78=291	+7	Playoff
T1	Bobby Jones (a)	United States	77-70-70-74=291	+7	Playoff
T3	Johnny Farrell	United States	71-74-69-78=292	+8	300
T3	Francis Ouimet (a)	United States	70-73-73-76=292	+8	0
T5	Walter Hagen	United States	72-76-71-74=293	+9	175
T5	Gene Sarazen	United States	72-72-75-74=293	+9	175
7	Mike Brady	United States	74-72-74-74=294	+10	100
8	Leo Diegel	United States	73-68-77-78=296	+12	90
T9	Laurie Ayton	Scotland	75-71-73-78=297	+13	78
T9	Al Espinosa	United States	72-71-74-80=297	+13	78
