Supplier	Basic shape	Keys (x modes)	Wrist pad	Thumb stick	Backlit
Wolfking	flat	55	no	no	yes
Wolfking	flat	49+104+8	no	no	yes
Wolfking	flat	49+40	no	no	yes
Steelseries	flat	41	no	no	yes
Steelseries	flat	34+104+11	no	no	yes
Steelseries	flat	27+79+17	yes	no	yes/no
Ergodex	flat	25+	no	no	no
Sharkoon	flat	62	no	no	no
Cyber Snipa	flat	39	yes	no	yes
Revoltec	flat	45	yes	no	no
Thermaltake	flat	44	yes	no	no
Belkin	curved	14 (x3)	yes	yes	no/yes
Saitek	curved	21 (x3)	yes	yes	yes
Genius	curved	11 (x3)	yes	yes	yes
Terratec	curved	6 (x4)	yes	no	no
Idizm	curved	25	yes	no	no
Microsoft	curved	6 (x 3) + 4	yes	no	no
Logitech	curved	25 (x3)	yes	yes	yes
Razer	curved	16	yes	yes	yes
Razer	curved	20	yes	yes	yes
