Code	Type	Name	Area (km 2 )	Population	Regional County Municipality	Region
95005	VL	Tadoussac	74.59	832	La Haute-Côte-Nord	09
95010	M	Sacré-Cœur	341.74	2,093	La Haute-Côte-Nord	09
95018	M	Les Bergeronnes	291.89	660	La Haute-Côte-Nord	09
95025	M	Les Escoumins	267.33	2,031	La Haute-Côte-Nord	09
95032	M	Longue-Rive	295.35	1,317	La Haute-Côte-Nord	09
95040	M	Portneuf-sur-Mer	241.23	885	La Haute-Côte-Nord	09
95045	V	Forestville	241.73	3,637	La Haute-Côte-Nord	09
95050	M	Colombier	313.20	868	La Haute-Côte-Nord	09
96005	VL	Baie-Trinité	536.33	569	Manicouagan	09
96010	VL	Godbout	204.34	318	Manicouagan	09
96015	M	Franquelin	529.84	341	Manicouagan	09
96020	V	Baie-Comeau	371.69	22,613	Manicouagan	09
96025	VL	Pointe-Lebel	91.16	1,943	Manicouagan	09
96030	VL	Pointe-aux-Outardes	71.56	1,389	Manicouagan	09
96035	VL	Chute-aux-Outardes	8.31	1,882	Manicouagan	09
96040	P	Ragueneau	215.92	1,529	Manicouagan	09
97007	V	Sept-Îles	1,969.42	25,276	Sept-Rivières	09
97022	V	Port-Cartier	1,073.70	6,865	Sept-Rivières	09
97035	V	Fermont	497.45	2,487	Caniapiscau	09
97040	V	Schefferville	39.02	249	Caniapiscau	09
98005	M	Blanc-Sablon	254.49	1,293	Le Golfe-du-Saint-Laurent	09
98010	M	Bonne-Espérance	721.28	839	Le Golfe-du-Saint-Laurent	09
98012	M	Saint-Augustin	1,435.82	853	Le Golfe-du-Saint-Laurent	09
98014	M	Gros-Mécatina	961.46	538	Le Golfe-du-Saint-Laurent	09
98015	M	Côte-Nord-du-Golfe-du-Saint-Laurent	2,783.59	1,155	Le Golfe-du-Saint-Laurent	09
98020	M	L'Île-d'Anticosti	7,923.16	263	Minganie	09
98025	CT	Natashquan	193.20	374	Minganie	09
98030	M	Aguanish	594.40	312	Minganie	09
98035	M	Baie-Johan-Beetz	425.31	85	Minganie	09
98040	M	Havre-Saint-Pierre	3,779.89	3,240	Minganie	09
98045	M	Longue-Pointe-de-Mingan	417.60	501	Minganie	09
98050	M	Rivière-Saint-Jean	652.54	284	Minganie	09
98055	M	Rivière-au-Tonnerre	1,331.17	365	Minganie	09
