Game	Day, Date	Anand	Gelfand	Standing
1	Friday, 11 May	½	½	Match tied ½ – ½
2	Saturday, 12 May	½	½	Match tied 1 – 1
3	Monday, 14 May	½	½	Match tied 1½ – 1½
4	Tuesday, 15 May	½	½	Match tied 2 – 2
5	Thursday, 17 May	½	½	Match tied 2½ – 2½
6	Friday, 18 May	½	½	Match tied 3 – 3
7	Sunday, 20 May	0	1	Gelfand leads 4 – 3
8	Monday, 21 May	1	0	Match tied 4 – 4
9	Wednesday, 23 May	½	½	Match tied 4½ – 4½
10	Thursday, 24 May	½	½	Match tied 5 – 5
11	Saturday, 26 May	½	½	Match tied 5½ – 5½
12	Monday, 28 May	½	½	Match tied 6 – 6
Tie break	Wednesday, 30 May	2½	1½	Anand wins 8½ – 7½
