Season	Series	Team	Races	Wins	Poles	Podiums	Points	Final Placing
2005	T Cars	PR Motorsport	17	8	2	10	284	1st
2005	T Cars Autumn Trophy	PR Motorsport	7	6	7	7	138	1st
2006	T Cars	PR Motorsport	10	3	3	7	68	9th
2007	Formula BMW UK	Fortec Motorsport	18	0	1	0	405	10th
2007	Formula Renault Eurocup	BVM Minardi	8	0	0	0	3	23rd
2007	Formula Renault NEC	Motopark Academy	4	0	0	1	70	18th
2008	Italian Formula Renault 2.0	BVM Minardi	14	1	0	4	250	4th
2008	Eurocup Formula Renault 2.0	BVM Minardi	14	0	0	0	2	25th
2008	Portugal Winter Series FR2.0	Motopark Academy	2	0	0	1	16	6th
2009	Formula Renault 2.0 NEC	Motopark Academy	14	1	1	3	229	4th
2009	Formula Renault Eurocup	Motopark Academy	14	1	0	4	83	4th
2010	Formula Three Euroseries	Motopark Academy	4	0	0	0	7	13th
2010	GP3 Series	Manor Racing	14	0	0	1	10	15th
2011	GP3 Series	Manor Racing	16	1	2	2	36	5th
2011	Formula One	Virgin Racing	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver
2012	Auto GP World Series	Super Nova International	14	5	6	10	221	1st
