Name	Height	Weight	Spike	2012 club
Annerys Vargas Category:Articles with hCards	m ()	kg (lb)	cm (in)	Criollas de Caguas
Lisvel Elisa Eve Category:Articles with hCards	m ()	kg (lb)	cm (in)	Mirador Volleyball
Brenda Castillo Category:Articles with hCards (L)	m ()	kg (lb)	cm (in)	San Cristóbal
Niverka Marte Category:Articles with hCards	m ()	kg (lb)	cm (in)	Deportivo Nacional
Cándida Arias Category:Articles with hCards	m ()	kg (lb)	cm (in)	San Cristóbal
Sidarka Núñez Category:Articles with hCards	m ()	kg (lb)	cm (in)	Club Malanga
Milagros Cabral Category:Articles with hCards (C)	m ()	kg (lb)	cm (in)	Los Cachorros
Karla Echenique Category:Articles with hCards	m ()	kg (lb)	cm (in)	Deportivo Nacional
Cindy Rondón Category:Articles with hCards	m ()	kg (lb)	cm (in)	Mirador Volleyball
Prisilla Rivera Category:Articles with hCards	m ()	kg (lb)	cm (in)	San Pedro
Gina Mambrú Category:Articles with hCards	m ()	kg (lb)	cm (in)	Los Cachorros
Bethania de la Cruz Category:Articles with hCards	m ()	kg (lb)	cm (in)	Deportivo Nacional
