Round	Race	Circuit	Date	Event	Winning driver	Winning team
1	Int. ADAC-Sparkassenpreises für Automobile	Sachsenring	9 May	Sprint Race	Christian Abt Christian Abt	Abt Sportsline Abt Sportsline
2	ADAC-Preis Flugplatzrennen	Zweibrücken	23 May	Sprint Race	Christian Abt Christian Abt	Abt Sportsline Abt Sportsline
3	Int. ADAC-Preis der Tourenwagen von Sachsen-Anhalt	Motorsport Arena Oschersleben	20 June	Sprint Race	Uwe Alzen Uwe Alzen	Warsteiner Team Holzer Warsteiner Team Holzer
4	57. Int. ADAC Norisring-Speedweekend 1999	Norisring	4 July	Sprint Race	Uwe Alzen Manuel Reuter	Warsteiner Team Holzer Warsteiner Team Holzer
5	Int. ADAC Gold-Cup Misano	Misano World Circuit	8 August	Sprint Race	Fabrizio Giovanardi Christian Abt	Alfa Corse Abt Sportsline
6	ADAC Großer Preis der Tourenwagen	Nürburgring	22 August	Sprint Race	Manuel Reuter Tom Kristensen	Warsteiner Team Holzer J.A.S.-Team Honda Sport
7	Int. ADAC Alpentrophäe	Salzburgring	5 September	Sprint Race	Uwe Alzen Uwe Alzen	Warsteiner Team Holzer Warsteiner Team Holzer
8	Int. ADAC-Preis von Niedersachsen	Oschersleben	19 September	Sprint Race	Gabriele Tarquini Eric Hélary	J.A.S.-Team Honda Sport TNT Team Holzer
9	Int. ADAC-Preis Hockenheim	Hockenheimring	3 October	Sprint Race	Kris Nissen Tom Kristensen	Abt Sportsline J.A.S.-Team Honda Sport
10	26. ADAC Bilstein Supersprint	Nürburgring	17 October	Sprint Race	Uwe Alzen Tom Kristensen	Warsteiner Team Holzer J.A.S.-Team Honda Sport
