Date	Visitor	Score	Home	Record
October 3	Detroit	3 – 3	Chicago	0–0–1
October 5	Detroit	5 – 8	Toronto	0–1–1
October 10	Montreal	4 – 1	Detroit	0–2–1
October 12	Detroit	2 – 3	Minnesota	0–3–1
October 15	Edmonton	1 – 3	Detroit	1–3–1
October 17	St. Louis	3 – 6	Detroit	2–3–1
October 19	Detroit	6 – 1	Quebec	3–3–1
October 23	Winnipeg	3 – 2	Detroit	3–4–1
October 25	Toronto	0 – 4	Detroit	4–4–1
October 26	Detroit	1 – 6	Toronto	4–5–1
October 28	Los Angeles	4 – 3	Detroit	4–6–1
October 30	Buffalo	1 – 3	Detroit	5–6–1
