Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2008	British Formula Renault 2.0	Fortec Motorsport	20	1	2	0	4	292	7th
2008	Formula Renault 2.0 NEC	Fortec Motorsport	3	0	0	0	0	38	25th
2008	British Formula Renault 2.0 Winter Series	Fortec Motorsport	4	2	3	4	3	116	1st
2008	Portuguese Formula Renault 2.0 Winter Series	Fortec Motorsport	4	3	2	2	4	60	1st
2009	British Formula Renault 2.0	Fortec Motorsport	20	8	10	7	12	457	2nd
2009	Formula Renault 2.0 Eurocup	Fortec Motorsport	6	0	0	1	0	10	17th
2010	British Formula Three Championship	Carlin	30	5	2	4	12	293	2nd
2011	GP3 Series	Lotus ART	16	1	1	2	6	55	2nd
2011	GP2 Final	Lotus ART	2	1	0	0	1	7	5th
2012	GP2 Series	Lotus GP	24	2	2	1	7	160	5th
