Rd #	Pick #	Player	Team (League)	Reg GP	Pl GP
1	7	Dan Woodley	Portland Winterhawks ( WHL )	5	0
3	49	Don Gibson	Michigan State University ( NCAA )	14	0
4	70	Ronnie Stern	Longueuil Chevaliers ( QMJHL )	97	3
5	91	Eric Murano	University of Denver ( NCAA )	0	0
6	112	Steve Herniman	Cornwall Royals ( OHL )	0	0
7	133	Jon Helgeson	University of Wisconsin–Madison ( NCAA )	0	0
8	154	Jeff Noble	Kitchener Rangers ( OHL )	0	0
9	175	Matt Merten	Providence College ( NCAA )	0	0
10	196	Marc Lyons	Kingston Canadians ( OHL )	0	0
11	217	Todd Hawkins	Belleville Bulls ( OHL )	8	0
12	138	Vladimir Krutov	HC CSKA Moscow ( Rus )	61	0
