Week	Date	Opponent	Result	Attendance
1	September 13, 1964	at Boston Patriots	L 17–14	21,126
2	September 19, 1964	Houston Oilers	L 42–28	26,482
3	September 27, 1964	Kansas City Chiefs	L 21–9	18,163
4	October 3, 1964	at Buffalo Bills	L 23–20	36,451
5	October 10, 1964	at New York Jets	L 35–13	36,499
6	October 16, 1964	at Boston Patriots	T 43–43	23,279
7	October 25, 1964	Denver Broncos	W 40–7	17,858
8	November 1, 1964	at San Diego Chargers	L 31–17	25,557
9	November 8, 1964	at Kansas City Chiefs	L 42–7	21,023
10	November 15, 1964	Houston Oilers	W 20–10	16,375
11	November 22, 1964	New York Jets	W 35–26	15,589
12	November 29, 1964	at Denver Broncos	T 20–20	15,958
13	December 6, 1964	Buffalo Bills	W 16–13	18,134
14	December 20, 1964	San Diego Chargers	W 21–20	20,124
