School	City	Mascot	Enrollment	IHSAA Class	County
21st Century Charter School of Gary	Gary	Cougars	108	A	45 Lake
Argos	Argos	Dragons	215	A	50 Marshall
Bethany Christian	Goshen	Bruins	155	A	20 Elkhart
Bethesda Christian	Brownsburg	Patriots	102	A	31 Hendricks
Bowman Academy	Gary	Eagles	498	AA	45 Lake
Cannelton	Cannelton	Bulldogs	85	A	62 Perry
Christian Academy of Indiana	New Albany	Warriors	169	A	22 Floyd
Connersville	Connersville	Spartans	1,203	AAAA	21 Fayette
DeMotte Covenant Christian	DeMotte	Knights	97	A	37 Jasper
Culver Military	Culver	Eagles	777	AAA	50 Marshall
East Chicago Central	East Chicago	Cardinals	1,575	AAAA	45 Lake
Elkhart Christian	Elkhart	Eagles	168	A	20 Elkhart
Eminence	Eminence	Eels	196	A	55 Morgan
Evansville Day School	Evansville	Eagles	76	A	82 Vanderburgh
Evansville Signature School	Evansville	Penguins	325	AA	82 Vanderburgh
Faith Christian	Monitor	Eagles	190	A	79 Tippecanoe
Fall Creek Academy	Indianapolis	Engineers	85	A	49 Marion
Fort Wayne Blackhawk	Fort Wayne	Braves	207	A	02 Allen
Fort Wayne Canterbury	Fort Wayne	Cavaliers	310	A	02 Allen
Guerin Catholic	Noblesville	Golden Eagles	573	AAA	29 Hamilton
The Howe School	Howe	Cadet Wildcats	81	A	44 La Grange
Indiana Math & Science	Indianapolis	Tigers	138	A	49 Marion
Indiana School for the Blind	Indianapolis	Rockets	60	A	49 Marion
Indiana School for the Deaf	Indianapolis	Deaf Hoosiers	112	A	49 Marion
Indianapolis Chatard	Indianapolis	Trojans	562	AAA	49 Marion
Indianapolis Brebeuf	Indianapolis	Braves	806	AAA	49 Marion
Indianapolis Cathedral	Indianapolis	Fighting Irish	1,251	AAAA	49 Marion
Indianapolis Covenant Christian	Indianapolis	Warriors	325	AA	49 Marion
Indianapolis Heritage Christian	Indianapolis	Eagles	502	AA	49 Marion
Indianapolis Herron	Indianapolis	Achaeans	466	AA	49 Marion
Indianapolis Metropolitan	Indianapolis	Pumas	431	A	49 Marion
Indianapolis Roncalli	Indianapolis	Rebels	1,095	AAAA	49 Marion
Indianapolis Tindley	Indianapolis	Tigers	156	A	49 Marion
International School of Indiana	Indianapolis	Gryphons	136	A	49 Marion
Irvington Community	Indianapolis	Ravens	292	A	49 Marion
Jay County	Portland	Patriots	1094	AAAA	38 Jay
Knightstown	Knightstown	Panthers	397	AA	32 Henry
Lakeland Christian	Winona Lake	Cougars	103	A	43 Kosciusko
Lakewood Park Christian	Auburn	Panthers	154	A	17 DeKalb
Gary Lighthouse	Gary	Lions	196	A	45 Lake
Medora	Medora	Hornets	74	A	36 Jackson
Muncie Southside	Muncie	Rebels	985	AAA	18 Delaware
North Judson San Pierre	North Judson	Blue Jays	462	AA	75 Starke
Oldenburg Academy	Oldenburg	Twisters	208	A	24 Franklin
Oregon-Davis	Hamlet	Bobcats	223	A	75 Starke
Providence	Clarksville	Pioneers	460	AA	10 Clark
Rock Creek Academy	Sellersburg	Lions	107	A	10 Clark
Richmond Seton Catholic	Richmond	Cardinals	74	A	89 Wayne
Shenandoah	Middletown	Raiders	448	AA	32 Henry
Trinity Lutheran	Seymour	Cougars	144	A	36 Jackson
University	Carmel	Trailblazers	236	A	29 Hamilton
Westville	Westville	Blackhawks	271	A	46 La Porte
