Date	Venue	Score	Result	Competition
16 August 2000	Skonto Stadium , Riga , Latvia	1 – 0	1–0	Friendly
28 March 2001	Dynama Stadium (Minsk) , Belarus	2 – 1	2–1	2002 World Cup qualifier
5 September 2001	Dynama Stadium (Minsk) , Belarus	1 – 0	4–1	2002 World Cup qualifier
5 September 2001	Dynama Stadium (Minsk) , Belarus	2 – 0	4–1	2002 World Cup qualifier
5 September 2001	Dynama Stadium (Minsk) , Belarus	3 – 0	4–1	2002 World Cup qualifier
5 September 2001	Dynama Stadium (Minsk) , Belarus	4 – 0	4–1	2002 World Cup qualifier
10 September 2003	Sheriff Stadium , Tiraspol , Moldova	1 – 2	1–2	Euro 2004 qualifier
6 June 2007	Vasil Levski National Stadium , Sofia , Bulgaria	1 – 0	1–2	Euro 2008 qualifier
22 August 2007	Dynama Stadium (Minsk) , Belarus	1 – 0	2–1	Friendly
2 February 2008	Ta' Qali National Stadium , Attard , Malta	1 – 0	2–0	Malta International Football Tournament
