Round	Date	Home	Result	Visitor	Venue	Attendance
28	Monday, December 1	Södertälje SK	3–1	Färjestads BK	AXA Sports Center	3,141
28	Monday, December 1	Skellefteå AIK	2–2	Brynäs IF	Skellefteå Kraft Arena	4,704
28	Monday, December 1	HV71	3–2	Rögle BK	Kinnarps Arena	6,865
28	Tuesday, December 2	Linköpings HC	3–3	Djurgårdens IF	Cloetta Center	6,978
28	Tuesday, December 2	Luleå HF	2–1	Frölunda HC	COOP Arena	5,005
29	Thursday, December 4	Färjestads BK	5–3	Luleå HF	Löfbergs Lila Arena	5,254
29	Thursday, December 4	Brynäs IF	2–1 (OT)	Linköpings HC	Läkerol Arena	4,882
29	Thursday, December 4	Timrå IK	3–2 (OT)	HV71	E.ON Arena	5,409
29	Thursday, December 4	Rögle BK	4–5 (OT)	Södertälje SK	Lindab Arena	4,534
29	Thursday, December 4	Djurgårdens IF	0–2	Skellefteå AIK	Hovet	3,930
29	Thursday, December 4	Frölunda HC	6–1	Modo Hockey	Scandinavium	11,459
30	Saturday, December 6	HV71	2–2	Brynäs IF	Kinnarps Arena	6,982
30	Saturday, December 6	Södertälje SK	1–2	Frölunda HC	AXA Sports Center	3,629
30	Saturday, December 6	Skellefteå AIK	4–5 (OT)	Modo Hockey	Skellefteå Kraft Arena	5,676
30	Saturday, December 6	Timrå IK	5–2	Rögle BK	E.ON Arena	5,239
30	Saturday, December 6	Djurgårdens IF	3–2	Färjestads BK	Hovet	5,029
31	Monday, December 8	HV71	5–6	Linköpings HC	Kinnarps Arena	7,038
31	Monday, December 8	Rögle BK	1–3	Färjestads BK	Lindab Arena	4,789
31	Monday, December 8	Frölunda HC	4–2	Brynäs IF	Scandinavium	11,582
31	Tuesday, December 9	Luleå HF	2–1	Skellefteå AIK	COOP Arena	5,600
31	Tuesday, December 9	Södertälje SK	3–2	Timrå IK	AXA Sports Center	2,858
32	Thursday, December 11	Linköpings HC	1–2	Södertälje SK	Cloetta Center	6,209
32	Thursday, December 11	Färjestads BK	2–3	HV71	Löfbergs Lila Arena	5,631
32	Thursday, December 11	Djurgårdens IF	3–2 (OT)	Luleå HF	Hovet	3,936
32	Thursday, December 11	Brynäs IF	1–2 (OT)	Modo Hockey	Läkerol Arena	5,354
32	Thursday, December 11	Timrå IK	4–3 (OT)	Frölunda HC	E.ON Arena	5,042
32	Thursday, December 11	Skellefteå AIK	5–2	Rögle BK	Skellefteå Kraft Arena	4,529
33	Saturday, December 13	Brynäs IF	3–3	Djurgårdens IF	Läkerol Arena	7,465
33	Saturday, December 13	Frölunda HC	0–2	Skellefteå AIK	Scandinavium	10,666
33	Saturday, December 13	Södertälje SK	1–2	Luleå HF	AXA Sports Center	3,750
33	Saturday, December 13	Rögle BK	5–5	Linköpings HC	Lindab Arena	4,539
33	Saturday, December 13	Timrå IK	0–3	Färjestads BK	E.ON Arena	4,902
33	Sunday, December 14	Modo Hockey	1–4	HV71	Swedbank Arena	5,562
30	Monday, December 15	Linköpings HC	3–6	Luleå HF	Cloetta Center	7,464
34	Friday, December 26	Frölunda HC	3–2 (OT)	Färjestads BK	Scandinavium	12,044
34	Friday, December 26	HV71	3–2	Södertälje SK	Kinnarps Arena	7,038
34	Friday, December 26	Linköpings HC	5–3	Brynäs IF	Cloetta Center	8,500
34	Friday, December 26	Djurgårdens IF	3–1	Rögle BK	Hovet	7,032
34	Friday, December 26	Skellefteå AIK	1–3	Timrå IK	Skellefteå Kraft Arena	6,001
34	Friday, December 26	Luleå HF	4–2	Modo Hockey	COOP Arena	5,600
35	Sunday, December 28	Färjestads BK	4–1	Djurgårdens IF	Löfbergs Lila Arena	8,073
35	Sunday, December 28	Södertälje SK	2–1	Skellefteå AIK	AXA Sports Center	3,885
35	Sunday, December 28	Rögle BK	3–1	Luleå HF	Lindab Arena	5,007
35	Sunday, December 28	Brynäs IF	4–6	HV71	Läkerol Arena	6,202
35	Sunday, December 28	Timrå IK	1–1	Linköpings HC	E.ON Arena	5,781
35	Sunday, December 28	Modo Hockey	1–3	Frölunda HC	Swedbank Arena	7,600
36	Tuesday, December 30	Luleå HF	2–1	Färjestads BK	COOP Arena	5,283
36	Tuesday, December 30	Brynäs IF	4–1	Rögle BK	Läkerol Arena	5,765
36	Tuesday, December 30	Djurgårdens IF	3–3	Södertälje SK	Hovet	6,525
36	Tuesday, December 30	Linköpings HC	5–2	Skellefteå AIK	Cloetta Center	8,046
36	Tuesday, December 30	HV71	3–2	Modo Hockey	Kinnarps Arena	7,038
36	Tuesday, December 30	Frölunda HC	2–1	Timrå IK	Scandinavium	11,362
