Place	Player	Country	Score	To par
1	Tom Lehman	United States	67-70=137	–3
T2	Stewart Cink	United States	71-67=138	–2
T2	Ernie Els	South Africa	71-67=138	–2
T4	Scott Hoch	United States	71-68=139	–1
T4	Jeff Maggert	United States	73-66=139	–1
T4	David Ogrin	United States	70-69=139	–1
T4	Hal Sutton	United States	66-73=139	–1
8	Mark McNulty	Zimbabwe	67-73=140	E
T9	Scott Dunlap	United States	75-66=141	+1
T9	Kelly Gibson	United States	72-69=141	+1
T9	Hideki Kase	Japan	68-73=141	+1
T9	Justin Leonard	United States	69-72=141	+1
T9	Colin Montgomerie	Scotland	65-76=141	+1
T9	Loren Roberts	United States	72-69=141	+1
T9	Dave Schreyer	United States	68-73=141	+1
T9	Jeff Sluman	United States	69-72=141	+1
T9	Tommy Tolles	United States	74-67=141	+1
T9	Tiger Woods	United States	74-67=141	+1
