2004/ 05	2005/ 06	2007/ 08	2008/ 09	2009/ 10	2010/ 11	2011/ 12
90	88	72	53	59	62	65
Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments
Not held	Not held	Not held	Not held	Not held	Not held	LQ
Not held	Not held	LQ	LQ	LQ	LQ	LQ
A	A	LQ	LQ	LQ	A	LQ
Not held	Not held	Not held	Not held	Not held	WR	1R
LQ	A	LQ	LQ	1R	LQ	LQ
A	A	QF	LQ	LQ	2R	LQ
Not held	Not held	Not held	Not held	Not held	DNQ	DNQ
WR	A	LQ	LQ	LQ	LQ	LQ
LQ	A	LQ	LQ	LQ	LQ	LQ
Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments
A	A	A	A	LQ	A	A
Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments
Not held	Not held	Not held	Not held	Not held	A	1R
Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments
LQ	Not held	Not held	Not held	Not held	Not held	Not held
LQ	NH	Not held	Not held	Not held	Not held	Not held
LQ	A	NR	Not held	Not held	Not held	Not held
Not held	NR	1R	LQ	Not held	Not held	Not held
Not held	Not held	Not held	LQ	Not held	Not held	Not held
Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments
NH	A	A	A	3R	Not held	Not held
