Series #	Title	Story by	Teleplay by	Directed by	Original air date
1	" The Target "	David Simon & Ed Burns	David Simon	Clark Johnson	June2,2002
2	" The Detail "	David Simon & Ed Burns	David Simon	Clark Johnson	June9,2002
3	" The Buys "	David Simon & Ed Burns	David Simon	Peter Medak	June16,2002
4	" Old Cases "	David Simon & Ed Burns	David Simon	Clement Virgo	June23,2002
5	" The Pager "	David Simon & Ed Burns	Ed Burns	Clark Johnson	June30,2002
6	" The Wire "	David Simon & Ed Burns	David Simon	Ed Bianchi	July7,2002
7	" One Arrest "	David Simon & Ed Burns	Rafael Alvarez	Joe Chappelle	July21,2002
8	" Lessons "	David Simon & Ed Burns	David Simon	Gloria Muzio	July28,2002
9	" Game Day "	David Simon & Ed Burns	David H. Melnick & Shamit Choksey	Milčo Mančevski	August4,2002
10	" The Cost "	David Simon & Ed Burns	David Simon	Brad Anderson	August11,2002
11	" The Hunt "	David Simon & Ed Burns	Joy Lusco	Steve Shill	August18,2002
12	" Cleaning Up "	David Simon & Ed Burns	George Pelecanos	Clement Virgo	September1,2002
