Rider	Manufacturer	Laps	Time/Retired	Grid
Valentino Rossi	Yamaha	23	42:42.385	3
Dani Pedrosa	Honda	23	+3.074	8
Alex Barros	Ducati	23	+5.956	10
Casey Stoner	Ducati	23	+6.012	1
John Hopkins	Suzuki	23	+13.244	9
Toni Elías	Honda	23	+19.255	15
Loris Capirossi	Ducati	23	+19.646	5
Chris Vermeulen	Suzuki	23	+22.810	2
Marco Melandri	Honda	23	+22.837	6
Nicky Hayden	Honda	23	+24.413	13
Alex Hofmann	Ducati	23	+24.781	11
Colin Edwards	Yamaha	23	+28.001	16
Shinya Nakano	Honda	23	+36.733	12
Sylvain Guintoli	Yamaha	23	+45.098	17
Makoto Tamada	Yamaha	23	+45.195	20*
Olivier Jacque	Kawasaki	23	+45.217	4
Kenny Roberts, Jr.	KR212V	23	+1:27.222	18
Carlos Checa	Honda	9	Retirement	14
Kurtis Roberts	KR212V	3	Retirement	19
Randy de Puniet	Kawasaki	1	Accident	7
