Position	Player	County team	Club team(s)	Team Number
Goalkeeper	Tony Reddin	Tipperary (1947–1957)	Mullagh (Galway) Lorrha (Tipperary)	1
Right corner-back	Bobby Rackard	Wexford (1945–1957)	Rathnure	2
Full-back	Nick O'Donnell	Wexford (1951–1960)	Éire Óg (Kilkenny) St. Aidan's (Wexford)	3
Left corner-back	John Doyle	Tipperary (1949–1967)	Holycross-Ballycahill	4
Right wing-back	Jimmy Finn	Tipperary (1950–1959)	Borris-Ileigh	5
Centre-back	John Keane	Waterford (1935–1951)	Mount Sion	6
Left wing-back	Paddy Phelan	Kilkenny (1931–1940)	Tullaroan	7
Midfield	Lory Meagher	Kilkenny (1924–1935)	Tullaroan	8
Midfield	Jack Lynch	Cork (1936–1950)	Glen Rovers	9
Right wing-forward	Christy Ring	Cork (1940–1962)	Glen Rovers	10
Centre-forward	Mick Mackey	Limerick (1930–1946)	Ahane	11
Left wing-forward	Jim Langton	Kilkenny (1939–1950)	Éire Óg	12
Right corner-forward	Jimmy Doyle	Tipperary (1957–1973)	Thurles Sarsfields	13
Full-forward	Nicky Rackard	Wexford (1940–1956)	Rathnure	14
Left corner-forward	Eddie Keher	Kilkenny (1959–1977)	Rower-Inistioge	15
