Week	Date	Opponent	Result	Attendance
1	September 13, 1999	Miami Dolphins	L 38–21	75,623
2	September 19, 1999	at Kansas City Chiefs	L 26–10	78,683
3	September 26, 1999	at Tampa Bay Buccaneers	L 13–10	65,297
4	October 3, 1999	New York Jets	L 21–13	74,181
5	October 10, 1999	at Oakland Raiders	W 16–13	55,704
6	October 17, 1999	Green Bay Packers	W 31–10	73,352
7	October 24, 1999	at New England Patriots	L 24–23	60,011
8	October 31, 1999	Minnesota Vikings	L 23–20	75,021
9	November 7, 1999	at San Diego Chargers	W 33–17	61,204
10	November 14, 1999	at Seattle Seahawks	L 20–17	66,314
11	November 22, 1999	Oakland Raiders	W 27–21	70,012
12	Bye	Bye	Bye	Bye
13	December 5, 1999	Kansas City Chiefs	L 16–10	73,855
14	December 13, 1999	at Jacksonville Jaguars	L 27–24	71,357
15	December 19, 1999	Seattle Seahawks	W 36–30	65,987
16	December 25, 1999	at Detroit Lions	W 17–7	73,158
17	January 2, 2000	San Diego Chargers	L 12–6	69,278
