Played	Drawn	Lost	Winning %	Tries	Conversions	Penalties	s Drop goal	Points total
3	0	0	100.0	1	7	6	0	37
24	1	5	75.0	3	41	73	2	322
2	0	0	100.0	2	5	8	0	44
2	0	0	100.0	3	16	0	0	47
10	0	1	90.0	4	26	33	0	171
2	0	0	100.0	1	8	0	0	21
10	0	1	90.0	2	25	23	1	132
6	0	0	100.0	0	18	16	1	87
3	0	0	100.0	2	20	1	0	53
1	0	0	100.0	0	5	0	0	10
1	0	0	100.0	0	4	1	0	11
1	0	0	100.0	0	6	0	0	12
4	0	0	100.0	2	14	5	0	53
17	0	4	76.5	3	30	54	2	243
2	0	0	100.0	1	3	1	0	14
9	0	0	100.0	5	25	29	0	162
98	1	11	88.25	29	253	250	6	1419
