Date	Visitor	Score	Home	Record
October 5	Pittsburgh	3 - 3	New Jersey	0-0-1
October 8	NY Rangers	2 - 3	New Jersey	1-0-1
October 9	New Jersey	5 - 5	Toronto	1-0-2
October 12	Boston	2 - 2	New Jersey	1-0-3
October 14	Montreal	5 - 3	New Jersey	1-1-3
October 16	New Jersey	6 - 5	Pittsburgh	2-1-3
October 18	Philadelphia	1 - 3	New Jersey	3-1-3
October 20	New Jersey	4 - 7	Los Angeles	3-2-3
October 22	New Jersey	1 - 3	Winnipeg	3-3-3
October 26	Minnesota	5 - 3	New Jersey	3-4-3
October 28	NY Islanders	4 - 2	New Jersey	3-5-3
October 30	New Jersey	5 - 8	NY Islanders	3-6-3
