Series #	Season #	Title	Directed by	Written by	Original air date	Production Code	U.S. viewers (millions)
24	1	"The Bus"	Paul Holohan	Hank Steinberg	September25,2003	175401	16.67
25	2	"Revelations"	Charlie Correll	Jan Nash	October2,2003	175402	15.26
26	3	"Confidence"	Randall Zisk	Greg Walker	October9,2003	175403	16.15
27	4	"Prodigy"	Randall Zisk	Maria Maggenti , Judy Sachs	October23,2003	175404	14.72
28	5	"Copycat"	Tim Matheson	Jennifer Levin	October30,2003	175405	15.59
29	6	"Our Sons and Daughters"	Paul Holohan	John Bellucci	November6,2003	175407	18.45
30	7	"A Tree Falls"	Rob Bailey	Allison Abner	November13,2003	175408	16.32
31	8	"Trip Box"	David Nutter	Simon Miren	November20,2003	175409	15.74
32	9	"Moving On"	John Peters	David H. Goodman	December11,2003	175410	16.40
33	10	"Coming Home"	Tony Wharmby	Jan Nash	December18,2003	175411	19.35
34	11	"Exposure"	Charlie Correll	Dale Kutzera	January8,2004	175406	18.18
35	12	"Hawks and Handsaws"	Kevin Hooks	Jennifer Levin, Ed Redlich	January15,2004	176412	17.42
36	13	"Life Rules"	John F. Showalter	Hank Steinberg, Erika Johnson, and Melissa Maxwell	January29,2004	176413	17.48
37	14	"The Line"	Paul Holohan	Greg Walker, Alexis Genya	February5,2004	175414	18.92
38	15	"Wannabe"	David Barrett	Hank Steinberg	February12,2004	175415	20.00
39	16	"Risen"	Tony Wharmby	David H. Goodman	February19,2004	175416	20.12
40	17	"Gung Ho"	Paul Holohan	Dale Kutzera, Simon Mirren	February26,2004	175417	16.98
41	18	"Legacy"	Tim Matheson	Allison Abner,Maria Maggenti	March11,2004	175418	19.68
42	19	"Doppelganger"	Andy Wolk	Hank Steinberg	April1,2004	175419	18.12
43	20	"Shadows"	Randall Zisk	Jennifer Levin, Jan Nash	April15,2004	175420	17.13
44	21	"Two Families"	John F. Showalter	Ed Redlich	April29,2004	175421	16.69
45	22	"The Season"	Tim Matheson	Jennifer Levin, Jan Nash, and Greg Walker	May6,2004	175422	16.04
