Date	Venue	Score	Result	Competition
October 7, 1994	Hiroshima , Japan	4-5	Lost	1994 Asian Games
February 16, 1996	Bangkok , Thailand	5-2	Win	King's Cup 1996
June 29, 1996	Bangkok , Thailand	5-1	Won	1996 Asian Cup Qualification
December 4, 1998	Bangkok , Thailand	2-0	Won	1998 Asian Games
December 14, 1998	Bangkok , Thailand	2-1	Won	1998 Asian Games
August 12, 1999	Bandar Seri Begawan , Brunei	2-0	Won	1999 Southeast Asian Games
August 14, 1999	Bandar Seri Begawan , Brunei	2-0	Won	1999 Southeast Asian Games
April 4, 2000	Bangkok , Thailand	5-3	Won	2000 Asian Cup Qualification
April 6, 2000	Bangkok , Thailand	1-0	Won	2000 Asian Cup Qualification
May 13, 2001	Bangkok , Thailand	4-2	Won	2002 World Cup Qualification
