Round	Pick	Overall	Name	Position	College
1	7	7	Pat Richter	TE	Wisconsin
2	8	22	Lonnie Sanders	CB	Michigan State
3	7	35	Ron Snidow	DE	Oregon
6	8	78	Charley Nickoson	OT	Ohio
7	7	91	Dave Francis	FB	Ohio State
9	7	119	Billy Joe	RB	Villanova
10	8	134	Rod Foster	G	Ohio State
11	7	147	Allen Schau	E	Western Michigan
12	8	162	Bob Caldwell	C	Georgia Tech
13	7	175	John Greiner	E	Purdue
14	8	190	Tom Winingder	RB	Georgia Tech
15	7	203	Harry Butsko	LB	Maryland
16	8	218	Dave Adams	G	Arkansas
17	7	231	Ron Whaley	DB	Tennessee-Chattanooga
18	8	246	Drew Roberts	E	Cal State-Humboldt
19	7	259	Jim Turner	K	Utah State
20	8	274	Joe Baughan	OT	Auburn
