Date	Race Name	Location	UCI Rating	Winner	Team
7–13 January	Jelajah Malaysia	Malaysia	2.2	Tonton Susanto ( INA )	LeTua Cycling Team
26 January	H. H. Vice President Cup	United Arab Emirates	1.2	Badr Mohamed Mirza Bani Hammad ( UAE )	Doha Team
27 January–1 February	Tour of Qatar	Qatar	2.1	Tom Boonen ( BEL )	Quick Step
9–17 February	Tour de Langkawi	Malaysia	2.HC	Ruslan Ivanov ( MDA )	Diquigiovanni-Androni
21–24 February	UAQ International Race	United Arab Emirates	2.2	Hossein Askari ( IRI )	Tabriz Petrochemical Team
2–7 March	Taftan Tour	Iran	2.2	Hossein Nateghi ( IRI )	Tabriz Petrochemical Team
9–16 March	Tour de Taiwan	Taiwan	2.2	John Murphy ( USA )	Health Net-Maxxis
2–6 April	Tour de East Java	Indonesia	2.2	Ghader Mizbani ( IRI )	Tabriz Petrochemical Team
15 April	Asian Cycling Championships – Time trial	Japan	CC	Eugen Wacker ( KGZ )	Kyrgyzstan (national team)
17 April	Asian Cycling Championships – Road race	Japan	CC	Fumiyuki Beppu ( JPN )	Japan (national team)
9–11 May	Tour de Kumano	Japan	2.2	Miyataka Shimizu ( JPN )	Meitan Hompo-GDR
9–13 May	President Tour of Iran	Iran	2.2	Ahad Kazemi ( IRI )	Tabriz Petrochemical Team
18–25 May	Tour of Japan	Japan	2.2	Cameron Meyer ( AUS )	Southaustralia.com-AIS
21–29 May	Azerbaïjan Tour	Iran	2.2	Hossein Askari ( IRI )	Tabriz Petrochemical Team
21 June–4 July	Tour de Korea-Japan	South Korea Japan	2.2	Sergey Lagutin ( UZB )	Cycle Collstrop
11–20 July	Tour of Qinghai Lake	China	2.HC	Tyler Hamilton ( USA )	Rock Racing
13–22 July	Way to Pekin	Russia	2.2	Sergey Firsanov ( RUS )	Rietumu Bank-Riga
19–20 July	His Excellency Gabenor of Malacca Cup	Malaysia	2.2	Mehdi Sohrabi ( IRI )	Islamic Azad University Cycling Team
23–25 July	Jelajah Negeri Sembilan	Malaysia	2.2	Vadim Shaekhov ( UZB )	Uzbekistan (national team)
1–6 September	Tour of Thailand The Northern Adventure	Thailand	2.2	Alex Coutts ( GBR )	Giant Asia Racing Team
11–15 September	Tour de Hokkaido	Japan	2.2	Takashi Miyazawa ( JPN )	Meitan Hompo-GDR
