Year	E3 Harelbeke ( BEL )	Gent–Wevelgem ( BEL )	Tour of Flanders ( BEL )	Paris–Roubaix ( FRA )
2013	Fabian Cancellara ( SUI )	Peter Sagan ( SVK )	Fabian Cancellara ( SUI )	Fabian Cancellara ( SUI )
2012	Tom Boonen ( BEL )	Tom Boonen ( BEL )	Tom Boonen ( BEL )	Tom Boonen ( BEL )
2011	Fabian Cancellara ( SUI )	Tom Boonen ( BEL )	Nick Nuyens ( BEL )	Johan Vansummeren ( BEL )
2010	Fabian Cancellara ( SUI )	Bernhard Eisel ( AUT )	Fabian Cancellara ( SUI )	Fabian Cancellara ( SUI )
2009	Filippo Pozzato ( ITA )	Edvald Boasson Hagen ( NOR )	Stijn Devolder ( BEL )	Tom Boonen ( BEL )
2008	Kurt Asle Arvesen ( NOR )	Oscar Freire ( ESP )	Stijn Devolder ( BEL )	Tom Boonen ( BEL )
2007	Tom Boonen ( BEL )	Marcus Burghardt ( GER )	Alessandro Ballan ( ITA )	Stuart O'Grady ( AUS )
2006	Tom Boonen ( BEL )	Thor Hushovd ( NOR )	Tom Boonen ( BEL )	Fabian Cancellara ( SUI )
2005	Tom Boonen ( BEL )	Nico Mattan ( BEL )	Tom Boonen ( BEL )	Tom Boonen ( BEL )
2004	Tom Boonen ( BEL )	Tom Boonen ( BEL )	Steffen Wesemann ( GER )	Magnus Bäckstedt ( SWE )
2003	Steven de Jongh ( NED )	Andreas Klier ( GER )	Peter Van Petegem ( BEL )	Peter Van Petegem ( BEL )
2002	Dario Pieri ( ITA )	Mario Cipollini ( ITA )	Andrea Tafi ( ITA )	Johan Museeuw ( BEL )
2001	Andrei Tchmil ( BEL )	George Hincapie ( USA )	Gianluca Bortolami ( ITA )	Servais Knaven ( NED )
2000	Sergei Ivanov ( RUS )	Geert Van Bondt ( BEL )	Andrei Tchmil ( BEL )	Johan Museeuw ( BEL )
1999	Peter Van Petegem ( BEL )	Tom Steels ( BEL )	Peter Van Petegem ( BEL )	Andrea Tafi ( ITA )
1998	Johan Museeuw ( BEL )	Frank Vandenbroucke ( BEL )	Johan Museeuw ( BEL )	Franco Ballerini ( ITA )
1997	Hendrik Van Dijck ( BEL )	Philippe Gaumont ( FRA )	Rolf Sørensen ( DEN )	Frédéric Guesdon ( FRA )
1996	Carlo Bomans ( BEL )	Tom Steels ( BEL )	Michele Bartoli ( ITA )	Johan Museeuw ( BEL )
1995	Bart Leysen ( BEL )	Lars Michaelsen ( DEN )	Johan Museeuw ( BEL )	Franco Ballerini ( ITA )
1994	Andrei Tchmil ( BEL )	Wilfried Peeters ( BEL )	Gianni Bugno ( ITA )	Andrei Tchmil ( BEL )
1993	Mario Cipollini ( ITA )	Mario Cipollini ( ITA )	Johan Museeuw ( BEL )	Gilbert Duclos-Lassalle ( FRA )
1992	Johan Museeuw ( BEL )	Mario Cipollini ( ITA )	Jacky Durand ( FRA )	Gilbert Duclos-Lassalle ( FRA )
1991	Olaf Ludwig ( GER )	Djamolidine Abdoujaparov ( UZB )	Edwig van Hooydonck ( BEL )	Marc Madiot ( FRA )
1990	Soren Lilholt ( DNK )	Herman Frison ( BEL )	Moreno Argentin ( ITA )	Eddy Planckaert ( BEL )
