Game	Date	Team	Score	High points	Location Attendance	Record
69	March 2	@ L. A. Lakers	L 121–127	Walt Hazzard (31)	The Forum 11,335	20–49
70	March 3	Cincinnati	L 128–138	Rod Thorn (22)	Seattle Center Coliseum 8,894	20–50
71	March 5	Baltimore	L 121–126	Tommy Kron (27)	Seattle Center Coliseum 4,939	20–51
72	March 7	St. Louis	L 133–150	Walt Hazzard , Rod Thorn (29)	Portland , Oregon 2,428	20–52
73	March 8	Baltimore	L 116–122	Tom Meschery (30)	Olympia , Washington 4,012	20–53
74	March 9	@ San Diego	W 115–111	Tom Meschery (23)	San Diego Sports Arena 6,331	21–53
75	March 10	San Francisco	L 112–118	Al Tucker (28)	Seattle Center Coliseum 5,536	21–54
76	March 11	Boston	L 112–119	Tom Meschery (22)	Seattle Center Coliseum 8,136	21–55
77	March 12	@ Detroit	L 123–139	Tommy Kron (24)	Cobo Arena 5,304	21–56
78	March 13	@ Cincinnati	L 123–142	Bob Rule (46)	Cincinnati Gardens 4,958	21–57
79	March 15	@ Chicago	W 113–101	Walt Hazzard (21)	Chicago Stadium 3,426	22–57
80	March 16	@ St. Louis	L 106–124	Walt Hazzard (24)	Kiel Auditorium 7,665	22–58
81	March 18	Detroit	L 82–88	Walt Hazzard (22)	Seattle Center Coliseum 6,244	22–59
82	March 19	Chicago	W 122–104	Walt Hazzard (36)	Seattle Center Coliseum 10,429	23–59
