Country	Project Name	Year startup	Operator	Peak
OPEC	OPEC	OPEC	OPEC	OPEC
Angola	Block 15 Kizomba C (Mondo)	1/2008	ExxonMobil	100
Angola	Block 15 Kizomba C (Saxi; Batuque)	7/2008	ExxonMobil	100
Indonesia	North Duri Area 12	11/2008	Chevron	34
Iran	Azadegan Phase I (south)	2/2008	NIOC	160
Iran	Aghajari Exp	4/2008	NIOC	120
Iran	Darkhovin Ph 2 (Masjid; Suleiman)	1/2008	Eni NIOC	110
Iran	South Pars phase 6-7-8	10/2008	Statoil	180
Iraq	Kirkuk (Khurmala Dome)	7/2008	KNOC	100
Iraq	Tawke	7/2008	DNO	50
Kuwait	Project Kuwait Phase I	12/2008	KOC	50
Nigeria	EA expansion	11/2008	Shell	80
Nigeria	Agbami	7/2008	Chevron	230
Nigeria	EA NGL 2 (Oso)	11/2008	ExxonMobil	40
Saudi Arabia	AFK Ph 1 (Abu Hadriya; Fadhili; Khursaniyah)	9/2008	Saudi Aramco	300
Saudi Arabia	Hawiyah	9/2008	Saudi Aramco	310
Venezuela	Corocoro Ph 1	1/2008	PDVSA	70
Non-OPEC	Non-OPEC	Non-OPEC	Non-OPEC	Non-OPEC
Australia	Angel	10/2008	NWS Venture	50
Australia	Vincent	8/2008	Woodside	30
Azerbaijan	ACG Phase III (Gunashli)	4/2008	BP	260
Brazil	Badejo-Siri (FPSO Cidade de Rio das Ostras)	4/2008	Petrobras	15
Brazil	Cachalote Pilot (Baleia Franca)	12/2008	Petrobras	25
Brazil	Marlim Leste P-53	11/2008	Petrobras	180
Canada	Long Lake Upgrader Ph 1	8/2008	OPTI /Nexen	60
Canada	Millennium Coker Unit	2008	Suncor	30
Canada	Horizon Oil Sands Project (Phase I)	12/2008	CNRL	110
Canada	Christina Lake Ph 1B	9/2008	EnCana	10
Canada	Christina Lake Ph 2	8/2008	MEG Energy (CNOOC interest)	20
Canada	Jackfish Ph 1	3/2008	Devon Energy	30
China	Erdos CTL Ph 1	10/2008	Shenhua	20
China	Tahe Exp	2008	Sinopec	100
China	Wenchang Exp	7/2008	CNOOC	40
China	Xijiang 23-1	6/2008	CNOOC	40
Congo	Moho Bilondo	4/2008	Total	90
Egypt	Saqqara	3/2008	BP	40
India	MA field (KG-D6)	9/2008	Reliance	40
Kazakhstan	Dunga	3/2008	Maersk	150
Kazakhstan	Komsomolskoe	5/2008	Petrom	10
Mexico	( Chicontepec ) Exp 1	2008	PEMEX	200
Mexico	Antonio J Bermudez Exp	5/2008	PEMEX	20
Mexico	Bellota Chinchorro Exp	5/2008	PEMEX	20
Mexico	Ixtal Manik	2008	PEMEX	55
Mexico	Jujo Tecominoacan Exp	2008	PEMEX	15
Norway	Alvheim; Volund; Vilje	6/2008	Marathon	100
Norway	Volve	2/2008	StatoilHydro	35
Oman	Mukhaizna EOR Ph 1	2008	Occidental	40
Philippines	Galoc	10/2008	GPC	15
Russia	Talakan Ph 1	10/2008	Surgutneftegaz	60
Russia	Verkhnechonsk Ph 1 (early oil)	10/2008	TNK-BP Rosneft	20
Russia	Yuzhno-Khylchuyuskoye "YK" Ph 1	8/2008	Lukoil ConocoPhillips	75
Thailand	Bualuang	8/2008	Salamander	10
UK	Britannia Satellites (Callanish; Brodgar)	7/2008	Conoco Phillips	25
USA	Blind Faith	11/2008	Chevron	45
USA	Neptune	7/2008	BHP Billiton	25
USA	Oooguruk	6/2008	Pioneer	15
USA	Qannik	7/2008	ConocoPhillips	4
USA	Thunder Horse	6/2008	BP	210
USA	Ursa Princess Exp	1/2008	Shell	30
Vietnam	Ca Ngu Vang (Golden Tuna)	7/2008	HVJOC	15
Vietnam	Su Tu Vang	10/2008	Cuu Long Joint	40
Vietnam	Song Doc	12/2008	Talisman	10
