Rider	Manufacturer	Laps	Time/Retired	Grid
Jorge Lorenzo	Aprilia	26	+42:54.427	1
Hiroshi Aoyama	KTM	26	+3.578	4
Héctor Barberá	Aprilia	26	+7.041	3
Thomas Luthi	Aprilia	26	+7.213	7
Alex de Angelis	Aprilia	26	+7.664	10
Shuhei Aoyama	Honda	26	+36.234	11
Roberto Locatelli	Gilera	26	+36.918	14
Álvaro Bautista	Aprilia	26	+36.936	6
Yuki Takahashi	Honda	26	+37.142	12
Julián Simón	Honda	26	+40.293	8
Jules Cluzel	Honda	26	+51.720	17
Aleix Espargaró	Aprilia	26	+56.620	13
Ratthapark Wilairot	Honda	26	+1:00.060	16
Karel Abraham	Aprilia	26	+1:01.500	20
Eugene Laverty	Honda	26	+1:09.950	18
Efren Vazquez	Aprilia	26	+1:10.059	21
Imre Toth	Aprilia	25	+1 Lap	24
Omar Menghi	Aprilia	25	+1 Lap	25
Mika Kallio	KTM	23	Accident	5
Andrea Dovizioso	Honda	19	Retirement	2
Alex Baldolini	Aprilia	19	Retirement	22
Dan Linfoot	Aprilia	17	Retirement	23
Dirk Heidolf	Aprilia	13	Retirement	19
Fabrizio Lai	Aprilia	4	Retirement	15
Marco Simoncelli	Gilera	3	Retirement	9
