Country	Skip	W	L	PF	PA	Ends Won	Ends Lost	Blank Ends F/A	Stolen Ends For	Stolen Ends Against	Shot %
Canada	Kevin Martin	10	1	92	43	47	33	1/6	11	2	88
Scotland	David Murdoch	8	3	86	59	45	38	6/11	11	6	83
Switzerland	Ralph Stöckli	7	4	67	62	44	41	4/11	13	12	80
Norway	Thomas Ulsrud	7	4	71	58	42	37	14/4	14	10	83
United States	John Shuster	7	4	79	71	49	41	4/7	19	10	78
Germany	Andy Kapp	7	4	77	66	45	46	6/11	10	9	81
Denmark	Ulrik Schmidt	5	6	65	74	44	44	10/5	12	10	79
France	Thomas Dufour	4	7	52	69	33	39	16/3	6	12	75
China	Wang Fengchun	4	7	69	78	45	47	4/7	11	11	81
Japan	Yusuke Morozumi	3	8	59	74	38	45	4/7	9	13	79
Czech Republic	Jiří Snítil	3	8	54	75	39	46	9/3	8	16	75
