Name	Japanese	Length	Max. speed	per lift	per hour	Built
West Gondola	ウエストゴンドラ	1,104m (3,622ft)	4.0m/s (13.1ft/s)	4	1,200	November 1983
West 1st Quad	ウエスト第1クワッド	619m (2,031ft)	4.0m/s (13.1ft/s)	4	2,400	November 1997
West 2nd Quad	ウエスト第2クワッド	924m (3,031ft)	4.0m/s (13.1ft/s)	4	2,400	November 1994
West Pair Lift	ウエストペアリフト	637m (2,090ft)	2.0m/s (6.6ft/s)	2	1,048	December 1986
West Tiger Pair Lift	ウエストタイガーペアリフト	512m (1,680ft)	2.3m/s (7.5ft/s)	2	900	November 2005
East Gondola Line1	イーストゴンドラ1号線	1,654m (5,426ft)	5.0m/s (16.4ft/s)	6	1,800	November 1987
East Gondola Line2	イーストゴンドラ2号線	2,071m (6,795ft)	5.0m/s (16.4ft/s)	6	1,800	November 1987
East Quad	イーストクワッド	1,381m (4,531ft)	4.0m/s (13.1ft/s)	4	2,400	December 1987
East 1st Pair Lift	イースト第1ペアリフト	721m (2,365ft)	1.6m/s (5.2ft/s)	2	1,200	November 1997
East 2nd Pair Lift	イースト第2ペアリフト	810m (2,657ft)	2.3m/s (7.5ft/s)	2	1,200	November 1995
Tower Pair Lift	タワーペアリフト	1,182m (3,877ft)	n/a	2	n/a	2007
Across 1st Pair Lift	アクロス第1ペアリフト	149m (489ft)	1.8m/s (5.9ft/s)	2	1,200	December 1988
Across 2nd Pair Lift	アクロス第2ペアリフト	n/a	n/a	2	n/a	December 1989
Izora Gondola	イゾラゴンドラ	2,858m (9,377ft)	5.0m/s (16.4ft/s)	6	1,800	December 1988
Izora 1st Quad	イゾラ第1クワッド	1,732m (5,682ft)	4.0m/s (13.1ft/s)	4	2,400	December 1989
Izora 2nd Quad	イゾラ第2クワッド	1,421m (4,662ft)	4.0m/s (13.1ft/s)	4	2,400	November 1990
Izora 3rd Quad	イゾラ第3クワッド	1,660m (5,446ft)	4.0m/s (13.1ft/s)	4	2,400	December 1995
Izora 4th Quad	イゾラ第4クワッド	1,140m (3,740ft)	5.0m/s (16.4ft/s)	4	2,400	November 1996
