County	Bush #	Bush %	Kerry #	Kerry %	Others #	Others %	Total
Allen County, Kansas	3,808	65.92%	1,885	32.63%	84	1.45%	5,777
Anderson County, Kansas	2,490	64.74%	1,291	33.57%	65	1.69%	3,846
Atchison County, Kansas	3,769	54.54%	3,028	43.81%	114	1.65%	6,911
Barber County, Kansas	1,749	73.89%	585	24.71%	33	1.39%	2,367
Barton County, Kansas	8,545	74.00%	2,837	24.57%	165	1.43%	11,547
Bourbon County, Kansas	4,268	65.36%	2,167	33.19%	95	1.45%	6,530
Brown County, Kansas	3,034	70.18%	1,234	28.54%	55	1.27%	4,323
Butler County, Kansas	16,331	71.26%	6,292	27.46%	293	1.28%	22,916
Chase County, Kansas	1,043	70.28%	413	27.83%	28	1.89%	1,484
Chautauqua County, Kansas	1,496	77.84%	400	20.81%	26	1.35%	1,922
Cherokee County, Kansas	6,045	61.38%	3,694	37.51%	109	1.11%	9,848
Cheyenne County, Kansas	1,346	80.02%	317	18.85%	19	1.13%	1,682
Clark County, Kansas	998	78.46%	254	19.97%	20	1.57%	1,272
Clay County, Kansas	3,119	79.20%	777	19.73%	42	1.07%	3,938
Cloud County, Kansas	3,134	71.49%	1,179	26.89%	71	1.62%	4,384
Coffey County, Kansas	3,204	73.93%	1,076	24.83%	54	1.25%	4,334
Comanche County, Kansas	765	78.54%	198	20.33%	11	1.13%	974
Cowley County, Kansas	9,237	65.06%	4,747	33.44%	213	1.50%	14,197
Crawford County, Kansas	8,423	52.09%	7,470	46.20%	277	1.71%	16,170
Decatur County, Kansas	1,354	77.86%	355	20.41%	30	1.73%	1,739
Dickinson County, Kansas	6,186	71.69%	2,316	26.84%	127	1.47%	8,629
Doniphan County, Kansas	2,460	69.24%	1,049	29.52%	44	1.24%	3,553
Douglas County, Kansas	19,923	41.44%	27,282	56.74%	875	1.82%	48,080
Edwards County, Kansas	1,072	72.43%	383	25.88%	25	1.69%	1,480
Elk County, Kansas	1,114	73.87%	367	24.34%	27	1.79%	1,508
Ellis County, Kansas	7,683	64.70%	3,938	33.16%	254	2.14%	11,875
Ellsworth County, Kansas	2,246	72.90%	794	25.77%	41	1.33%	3,081
Finney County, Kansas	7,361	75.39%	2,303	23.59%	100	1.02%	9,764
Ford County, Kansas	6,413	73.66%	2,195	25.21%	98	1.13%	8,706
Franklin County, Kansas	7,278	64.34%	3,874	34.25%	159	1.41%	11,311
Geary County, Kansas	4,553	64.33%	2,436	34.42%	89	1.26%	7,078
Gove County, Kansas	1,182	81.46%	245	16.88%	24	1.65%	1,451
