Week	Kickoff	Date	Opponent	Result	Record	Game site	Attendance
1	1:00 PM EDT	September 9, 2001	Cincinnati Bengals	L 17-23	0–1	Paul Brown Stadium	51,521
2	4:05 PM EDT	September 23, 2001	New York Jets	L 3-10	0–2	Foxboro Stadium	60,292
3	1:00 PM EDT	September 30, 2001	Indianapolis Colts	W 44-13	1–2	Foxboro Stadium	60,292
4	1:00 PM EDT	October 7, 2001	Miami Dolphins	L 10-30	1–3	Pro Player Stadium	72,713
5	1:00 PM EDT	October 14, 2001	San Diego Chargers	W 29-26 (OT)	2–3	Foxboro Stadium	60,292
6	1:00 PM EDT	October 21, 2001	Indianapolis Colts	W 38-17	3–3	RCA Dome	56,022
7	4:15 PM EST	October 28, 2001	Denver Broncos	L 20-31	3–4	Invesco Field at Mile High	74,750
8	1:00 PM EST	November 4, 2001	Atlanta Falcons	W 24-10	4–4	Georgia Dome	44,229
9	1:00 PM EST	November 11, 2001	Buffalo Bills	W 21-11	5–4	Foxboro Stadium	60,292
10	8:30 PM EST	November 18, 2001	St. Louis Rams	L 17-24	5–5	Foxboro Stadium	60,292
11	4:05 PM EST	November 25, 2001	New Orleans Saints	W 34-17	6–5	Foxboro Stadium	60,292
12	1:00 PM EST	December 2, 2001	New York Jets	W 17-16	7–5	Giants Stadium	78,712
13	1:00 PM EST	December 9, 2001	Cleveland Browns	W 27-16	8–5	Foxboro Stadium	60,292
14	1:00 PM EST	December 16, 2001	Buffalo Bills	W 12-9 (OT)	9–5	Ralph Wilson Stadium	45,527
15	1:30 PM EST	December 22, 2001	Miami Dolphins	W 20-13	10–5	Foxboro Stadium	60,292
16	Bye	Bye	Bye	Bye	Bye	Bye	Bye
17	1:00 PM EST	January 6, 2002	Carolina Panthers	W 38-6	11–5	Ericsson Stadium	71,907
Playoffs	Playoffs	Playoffs	Playoffs	Playoffs	Playoffs	Playoffs	Playoffs
Bye	Bye	Bye	Bye	Bye	Bye	Bye	Bye
DIV	8:00 PM EST	January 19, 2002	Oakland Raiders	W 16-13 (OT)	12–5	Foxboro Stadium	60,292
AFCCG	12:30 PM EST	January 27, 2002	Pittsburgh Steelers	W 24-17	13–5	Heinz Field	64,704
SB XXXVI	5:40 PM CST	February 3, 2002	St. Louis Rams	W 20-17	14–5	Louisiana Superdome	72,922
