Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	13–4	Lyoto Machida	KO (head kick)	UFC Fight Night: Machida vs. Munoz	1	3:10	Manchester, England , United Kingdom
Win	13–3	Tim Boetsch	Decision (unanimous)	UFC 162	3	5:00	Las Vegas, Nevada , United States
Loss	12–3	Chris Weidman	KO (elbow & punches)	UFC on Fuel TV: Munoz vs. Weidman	2	1:37	San Jose, California , United States
Win	12–2	Chris Leben	TKO (corner stoppage)	UFC 138	2	5:00	Birmingham, England , United Kingdom
Win	11–2	Demian Maia	Decision (unanimous)	UFC 131	3	5:00	Vancouver, British Columbia , Canada
Win	10–2	CB Dollaway	KO (punches)	UFC Live: Sanchez vs. Kampmann	1	0:54	Louisville, Kentucky , United States
Win	9–2	Aaron Simpson	Decision (unanimous)	UFC 123	3	5:00	Auburn Hills, Michigan , United States
Loss	8–2	Yushin Okami	Decision (split)	UFC Live: Jones vs. Matyushenko	3	5:00	San Diego, California , United States
Win	8–1	Kendall Grove	TKO (punches)	UFC 112	2	2:50	Abu Dhabi , United Arab Emirates
Win	7–1	Ryan Jensen	Submission (punches)	UFC 108	1	2:30	Las Vegas, Nevada , United States
Win	6–1	Nick Catone	Decision (split)	UFC 102	3	5:00	Portland, Oregon , United States
Loss	5–1	Matt Hamill	KO (head kick)	UFC 96	1	3:53	Columbus, Ohio , United States
Win	5–0	Ricardo Barros	TKO (punches)	WEC 37	1	2:26	Las Vegas, Nevada , United States
Win	4–0	Chuck Grigsby	KO (punches)	WEC 34	1	4:15	Sacramento, California , United States
Win	3–0	Tony Rubalcava	Decision (unanimous)	PFC 4: Project Complete	3	3:00	Lemoore, California , United States
Win	2–0	Mike Pierce	Decision (unanimous)	GC 69: Bad Intentions	3	5:00	Sacramento, California , United States
Win	1–0	Austin Achorn	TKO (punches)	PFC 3: Step Up	1	1:25	Lemoore, California , United States
