Name	Latitude	Longitude	Diameter	Year named
Abydos Facula	33.4N	153.4W	180.0	1985
Akhmin Facula	27.7N	189.5W	245.0	1997
Bigeh Facula	29.0N	94.3W	224.0	2000
Busiris Facula	15.7N	215.4W	369.0	1985
Buto Facula	13.2N	203.5W	245.0	1985
Coptos Facula	9.9N	209.2W	329.0	1985
Dendera Facula	0.0N	257.0W	114.0	1985
Edfu Facula	25.7N	147.1W	184.0	1985
Heliopolis Facula	18.5N	147.2W	50.0	1997
Hermopolis Facula	22.4N	195.3W	260.0	1997
Memphis Facula	14.1N	131.9W	361.0	1985
Ombos Facula	4.8N	236.0W	170.0	1985
Punt Facula	26.1S	242.2W	228.0	1985
Sais Facula	37.9N	14.2W	137.0	1988
Siwah Facula	7.0N	143.1W	220.0	1985
Tettu Facula	37.6N	161.2W	189.0	1985
Thebes Facula	7.1N	202.4W	360.0	1985
