Generic Name	Trade Name	FDA approved	TGA approved	EMA approved	MHRA approved
Amisulpride	Solian	No	Yes	No	Yes
Aripiprazole	Abilify	Yes	Yes	Yes	Yes
Asenapine	Saphris	Yes	Yes	Yes	Yes
Blonanserin	Lonasen	No	No	No	No
Carpipramine	Prazinil	No	No	No	No
Clocapramine	Clofekton	No	No	No	No
Clozapine	Clozaril	Yes	Yes	Yes	Yes
Iloperidone	Fanapt	Yes	No	No	No
Lurasidone	Latuda	Yes	No	No	No
Melperone	Buronil	No	No	No	No
Mosapramine	Cremin	No	No	No	No
Olanzapine	Zyprexa	Yes	Yes	Yes	Yes
Paliperidone	Invega	Yes	Yes	Yes	Yes
Perospirone	Lullan	No	No	No	No
Quetiapine	Seroquel	Yes	Yes	Yes	Yes
Remoxipride	Roxiam	No	No	Withdrawn	No
Risperidone	Risperdal	Yes	Yes	Yes	Yes
Sertindole	Serdolect	No	Yes	No	Yes
Sulpiride	Sulpirid	No	No	Yes	Yes
Ziprasidone	Geodon	Yes	Yes	Yes	Yes
Zotepine	Nipolept	No	No	No	No
