Voting order	Country	Spokespersons	Commentator	Broadcaster
01	Netherlands	Dick van Bommel	Teddy Scholten	Nederland 1
02	United Kingdom	Michael Aspel	David Jacobs	BBC1
02	United Kingdom	Michael Aspel	David Gell	BBC Light Programme
03	Spain	Pepe Palau	Federico Gallo	TVE
04	Ireland	Frank Hall	Bunny Carr	Telefís Éireann
04	Ireland	Frank Hall	Kevin Roche	Radio Éireann
05	Germany	Lia Wöhr	Hermann Rockmann	ARD Deutsches Fernsehen
06	Austria	Ernst Grissemann	Emil Kollpacher	ORF
07	Norway	Sverre Christophersen	Erik Diesen	NRK and NRK P1
08	Belgium	Nand Baert	Herman Verelst	BRT
08	Belgium	Nand Baert	Paule Herreman	RTB
09	Monaco	TBC	Pierre Tchernia	Télé Monte Carlo
10	Sweden	Edvard Matz	Berndt Friberg	Sveriges Radio-TV and SR P1
11	France	TBC	Pierre Tchernia	Première Chaîne ORTF
12	Portugal	Maria Manuela Furtado	Gomes Ferreira	RTP
13	Italy	TBC	Renato Tagliani	Programma Nazionale
14	Denmark	Bent Henius	TBC	DR TV
15	Luxembourg	TBC	Pierre Tchernia	Télé-Luxembourg
16	Finland	Poppe Berg	Aarno Walli	TV-ohjelma 1
17	Yugoslavia	TBC	Miloje Orlović	Televizija Beograd
17	Yugoslavia	TBC	Mladen Delić	Televizija Zagreb
17	Yugoslavia	TBC	Tomaž Terček	Televizija Ljubljana
18	Switzerland	Alexandre Burger	Theodor Haller	TV DRS
18	Switzerland	Alexandre Burger	Georges Hardy	TSR
18	Switzerland	Alexandre Burger	Giovanni Bertini	TSI
