Year	Title	Director	Studio(s)	Notes
2000	The Road to El Dorado	Don Paul Bibo Bergeron	DreamWorks Pictures DreamWorks Animation	with Hans Zimmer
2000	Chicken Run	Peter Lord Nick Park	DreamWorks Pictures DreamWorks Animation	with Harry Gregson-Williams
2001	Just Visiting	Jean-Marie Poiré	Hollywood Pictures	N/A
2001	Shrek	Andrew Adamson Vicky Jenson	DreamWorks Pictures DreamWorks Animation	with Harry Gregson-Williams
2001	Evolution	Ivan Reitman	DreamWorks Pictures	N/A
2001	Rat Race	Jerry Zucker	Paramount Pictures	N/A
2001	I Am Sam	Jessie Nelson	New Line Cinema	N/A
2002	D-Tox	Jim Gillespie	Universal Pictures	N/A
2002	The Bourne Identity	Doug Liman	Universal Pictures	N/A
2002	Drumline	Charles Stone III	20th Century Fox	N/A
2002	The Adventures of Pluto Nash	Ron Underwood	Warner Bros. Pictures	N/A
2002	Two Weeks Notice	Marc Lawrence	Warner Bros. Pictures	N/A
2003	Stealing Sinatra	Ron Underwood	Showtime Networks	Television film
2003	Agent Cody Banks	Harald Zwart	Metro-Goldwyn-Mayer	N/A
2003	The Italian Job	F. Gary Gray	Paramount Pictures	N/A
2003	Gigli	Martin Brest	Columbia Pictures	N/A
2003	Paycheck	John Woo	Paramount Pictures	N/A
2004	The Bourne Supremacy	Paul Greengrass	Universal Pictures	N/A
2004	Mr. 3000	Charles Stone III	Touchstone Pictures	N/A
2004	Alfie	Charles Shyer	Paramount Pictures	N/A
2005	Be Cool	F. Gary Gray	Metro-Goldwyn-Mayer	N/A
2005	Robots	Chris Wedge	20th Century Fox Blue Sky Studios	N/A
2005	Mr. & Mrs. Smith	Doug Liman	20th Century Fox	N/A
2006	Ice Age: The Meltdown	Carlos Saldanha	20th Century Fox Blue Sky Studios	N/A
2006	United 93	Paul Greengrass	Universal Pictures	N/A
2006	X-Men: The Last Stand	Brett Ratner	20th Century Fox	N/A
2006	Happy Feet	George Miller	Warner Bros. Pictures Animal Logic	N/A
2007	The Bourne Ultimatum	Paul Greengrass	Universal Pictures	N/A
2007	PS, I Love You	Richard LaGravenese	Warner Bros. Pictures	N/A
2008	Jumper	Doug Liman	20th Century Fox	N/A
2008	Horton Hears a Who!	Jimmy Hayward Steve Martino	20th Century Fox Blue Sky Studios	N/A
2008	Stop-Loss	Kimberly Peirce	Paramount Pictures MTV Films	N/A
2008	Kung Fu Panda	John Stevenson Mark Osborne	Paramount Pictures DreamWorks Animation	with Hans Zimmer
2008	Hancock	Peter Berg	Columbia Pictures	N/A
2008	Bolt	Chris Williams Byron Howard	Walt Disney Pictures Walt Disney Animation Studios	N/A
2009	Ice Age: Dawn of the Dinosaurs	Carlos Saldanha	20th Century Fox Blue Sky Studios	N/A
