Name	Period	League	FA Cup	League Cup	Other	Total
Graham Cross	1961–1975	498	59	40	2	599
Adam Black	1920–1935	528	29	0	0	557
Hugh Adcock	1923–1935	434	26	0	0	460
Mark Wallington	1972–1985	412	25	23	0	460
Steve Walsh	1986–2000	369	17	40	24	450
Arthur Chandler	1923–1935	393	26	0	0	419
John Sjoberg	1958–1973	335	34	44	0	413
Mal Griffiths	1939–1956	373	36	0	0	409
Steve Whitworth	1969–1979	353	29	18	0	400
Sep Smith	1929–1949	350	23	0	0	373
Mike Stringfellow	1962–1975	315	28	27	0	370
Richie Norman	1958–1968	303	30	28	4	365
Gordon Banks	1959–1967	293	34	25	4	356
John O'Neill	1977–1987	313	19	13	0	345
Dave Gibson	1962–1970	280	29	30	0	339
Peter Shilton	1966–1974	286	33	20	0	339
Colin Appleton	1954–1966	277	32	20	4	333
Dennis Rofe	1972–1980	290	22	12	0	324
Paul Ramsey	1980–1991	290	10	19	3	322
Arthur Rowley	1950–1958	303	18	0	0	321
