Name	Years	Gender	Area	Authority	Decile	Roll
Auckland Normal Intermediate	7–8	Coed	Mount Eden	State	9	731
Balmoral Seventh-day Adventist School	1–8	Coed	Balmoral	State integrated	5	95
Balmoral School	1–8	Coed	Mount Eden	State	9	808
Cornwall Park School	1–6	Coed	Greenlane	State	10	668
Edendale School	1–6	Coed	Sandringham	State	5	588
Epsom Normal School	1–6	Coed	Epsom	State	9	681
Ficino School	1–8	Coed	Mount Eden	Private	9	122
Gladstone School	1–6	Coed	Mount Albert	State	8	888
Good Shepherd School	1–6	Coed	Balmoral	State integrated	8	231
Kohia Terrace School	1–8	Coed	Epsom	State	10	373
Kowhai Intermediate	7–8	Coed	Kingsland	State	6	378
Marist School	1–6	Coed	Mount Albert	State integrated	7	278
Maungawhau School	1–6	Coed	Mount Eden	State	10	639
Mount Albert School	1–6	Coed	Mount Albert	State	6	328
Mount Eden Normal School	1–6	Coed	Mount Eden	State	10	656
Our Lady Sacred Heart School	1–8	Coed	Epsom	State integrated	10	232
Owairaka District School	1–6	Coed	Mount Albert	State	2	383
Pasadena Intermediate	7–8	Coed	Point Chevalier	State	6	297
Point Chevalier School	1–6	Coed	Point Chevalier	State	8	678
St Francis Catholic School	1–6	Coed	Point Chevalier	State integrated	7	249
TKKM o Nga Maungarongo	1–8	Coed	Mount Albert	State	3	83
Waterview School	1–6	Coed	Waterview	State	2	147
