Year	Entrant	Chassis	Engine	Points
1951	Viking Trailer	Lesovsky	Offenhauser L4	0
1952	Peter Schmidt	Kurtis Kraft 3000	Offenhauser L4	0
1953	Blakely Oil	Schroeder	Offenhauser L4	0
1954	Dean Van Lines	Kuzma Indy Roadster	Offenhauser L4	6
1955	Dean Van Lines	Kuzma Indy Roadster	Offenhauser L4	0
1956	Dean Van Lines	Kuzma Indy Roadster	Offenhauser L4	0
1957	Dean Van Lines	Kuzma Indy Roadster	Offenhauser L4	4
1958	Belond AP / George Salih	Epperly Indy Roadster	Offenhauser L4	8
1959	Belond AP / George Salih	Epperly Indy Roadster	Offenhauser L4	0
1960	Metal-Cal	Epperly Indy Roadster	Offenhauser L4	0
