Townland	Area( acres )	Barony	Civil parish	Poor law union
Annacarriga	157	Kinalea	Tracton	Kinsale
Annagh Beg	158	Kinalea	Dunderrow	Kinsale
Annagh More	468	Kinalea	Inishannon	Bandon
Annefield	140	Kinalea	Kinure	Kinsale
Ardnaboha	81	Kinalea	Kilmonoge	Kinsale
Arlinstown	418	Kinalea	Ballymartle	Kinsale
Ballady	615	Kinalea	Cullen	Kinsale
Ballinaboy	1149	Kinalea	Ballinaboy	Kinsale
Ballindeasig	198	Kinalea	Nohaval	Kinsale
Ballindeasig	464	Kinalea	Ballyfoyle	Kinsale
Ballindeenisk	416	Kinalea	Kilmonoge	Kinsale
Ballindresrough	76	Kinalea	Ballymartle	Kinsale
Ballingarry East	338	Kinalea	Ballyfeard	Kinsale
Ballingarry Middle	322	Kinalea	Ballyfeard	Kinsale
Ballingarry West	408	Kinalea	Ballyfeard	Kinsale
Ballingeemanigbeg	35	Kinalea	Kilmonoge	Kinsale
Ballinlining	75	Kinalea	Carrigaline	Kinsale
Ballinluig East	233	Kinalea	Ballyfeard	Kinsale
Ballinluig West	332	Kinalea	Ballyfeard	Kinsale
Ballinreenlanig	102	Kinalea	Nohaval	Kinsale
Ballinreenlanig	102	Kinalea	Nohaval	Kinsale
Ballintober	251	Kinalea	Ballymartle	Kinsale
Ballintrideen	232	Kinalea	Ballyfeard	Kinsale
Ballinvarosig	203	Kinalea	Carrigaline	Kinsale
Ballinvarrig	392	Kinalea	Tracton	Kinsale
Ballinvologe	220	Kinalea	Ballyfoyle	Kinsale
Ballinvragnosig	239	Kinalea	Cullen	Kinsale
Ballinwillin	11	Kinalea	Nohaval	Kinsale
Ballinwillin	112	Kinalea	Kinure	Kinsale
Ballybogey	183	Kinalea	Nohaval	Kinsale
Ballycoghlan	266	Kinalea	Inishannon	Bandon
Ballydonaghy	223	Kinalea	Leighmoney	Kinsale
Ballyfoyle	382	Kinalea	Ballyfoyle	Kinsale
Ballyhamsane	262	Kinalea	Ballyfeard	Kinsale
Ballyhandle	398	Kinalea	Knockavilly	Bandon
Ballyheedy	263	Kinalea	Ballinaboy	Kinsale
Ballyherkin Lower	30	Kinalea	Nohaval	Kinsale
Ballyherkin Upper	38	Kinalea	Nohaval	Kinsale
Ballyhullen Keague	47	Kinalea	Nohaval	Kinsale
Ballymartle	317	Kinalea	Ballymartle	Kinsale
Ballymurphy North	506	Kinalea	Knockavilly	Bandon
Ballymurphy South	532	Kinalea	Knockavilly	Bandon
