-	Week 1	Week 2	Week 3	Week 4	Week 5
January	Brianne Blessing	Shelley Antunez	Linda Baier	Shannon Lea	Stephanie Eve *
February	Ashley Marks	Brandy Grace	Sabrina Rose*	Salina Satterblom	[Month Ended]
March	Chrissy Nicole Herbert	Shawn Hektor*	Abby Faith	Lauren Stagg	[Month Ended]
April	Cassandra Linn	Mary McCord	Tonya Berrios*	Kristen DeLuca	[Month Ended]
May	Lindsey Leslie	Annemarie Vola	Rachel Rousseau	Jaime Hammer*	Gayle Gurchiek
June	Janis Terrell	Kellie Connolly	Nicole Bayard	Heidi Hanson*	[Month Ended]
July	Brittany Leigh	Nikki Bishop*	Rikki and Vikki	Susie Christine	[Month Ended]
August	Courtney Metscher	Megan Christine	Kimberly Williams	Aimee Chuhaloff	Monica Leigh **
September	Jessica Linn	Janel Rae	Rosalynd Joyce	Lynne Kush*	[Month Ended]
October	Mary Jane*	Ann Poll	Claudia Sands	K'Cee Kreppin	Jessica Danielle
November	Joelle Ilima	Stefaney Lewis	Tiffany Toth*	Heidi Rhodes	[Month Ended]
