Series #	Title	Directed by	Written by	Original air date	Prod. code
1 (1)	"Pilot"	John Whitesell	David Renwick	September 16, 1996	101
2 (2)	"It's My Party"	John Whitesell	David Landsberg	September 23, 1996	102
3 (3)	"Neighborhood Watch"	John Whitesell	Vanessa Middleton	September 30, 1996	103
4 (4)	"Happily Ever Hilton"	John Whitesell	Adam Belanoff	October 7, 1996	104
5 (5)	"The Best Little Antique Shop in Astoria"	Tim Ryder	David Wyatt	October 14, 1996	105
6 (6)	"One Foot in Your Mouth"	John Whitesell	Bernie Orenstein Saul Turteltaub	October 21, 1996	106
7 (7)	"Natural Born Debtors"	John Whitesell	Vanessa Middleton	October 28, 1996	107
8 (8)	"The Two Mr. Lucases"	John Whitesell	Adam Belanoff	November 4, 1996	108
9 (9)	"No Nudes is Good Nudes"	John Whitesell	David Landsberg David Wyatt	November 11, 1996	109
10 (10)	"Basketball Story"	John Whitesell	Frank Mula	November 18, 1996	110
11 (11)	"Guard Almighty"	John Whitesell	Bernie Orenstein Saul Turteltaub	November 25, 1996	111
12 (12)	"The Broken Reflection"	John Whitesell	Dennis Klein	December 2, 1996	112
13 (13)	"Tempus Lucas"	John Whitesell	John Rogers	December 16, 1996	113
14 (14)	"Guess Whose President is Coming to Dinner"	John Whitesell	David Landsberg	January 6, 1997	114
15 (15)	"Brave New Hilton"	John Whitesell	Elise Allen	January 13, 1997	115
16 (16)	"Lucas Platonicus"	John Whitesell	John Rogers Chris Downey	February 3, 1997	116
17 (17)	"Valentine's Day"	Tim Ryder	Howard Meyers	February 10, 1997	117
18 (18)	"Florida"	John Whitesell	Frank Mula	February 17, 1997	118
19 (19)	"Anniversary Waltz"	John Whitesell	Bob Kurtz Eric Brand	February 24, 1997	119
20 (20)	"That Darn Cat"	John Whitesell	Howard Meyers	March 3, 1997	120
21 (21)	"I'm OK, You're Hilton"	John Whitesell	Adam Belanoff	March 10, 1997	121
22 (22)	"The Return of the Charlites"	John Whitesell	Vanessa Middleton	April 28, 1997	122
23 (23)	"My Dinner with Methuselah"	John Whitesell	Elise Allen Chris Downey	May 5, 1997	123
24 (24)	"Hilton's Playland"	John Whitesell	Richard Goodman Jacqueline McKinley	May 12, 1997	124
