Release format	Country	Label	Cat. No.	Release date
Vinyl	West Germany 1	Ariola	25 900 OT	1978
Vinyl	West Germany 1	Ariola	340737	1978
Cassette	West Germany	Ariola	68 721 0	1978
Vinyl	East Germany	Ariola	200 202	1978
Vinyl	Italy	Polydor	2480 465	1978
Cassette	Italy	Polydor	3194 465	1978
Vinyl	France 1	Eurodisc	913211	1978
Cassette	France	Eurodisc	914211	1978
Vinyl	Spain	Ariola	25 900 I	1978
Vinyl	United Kingdom	Ariola	ARLH 5006	1978
Vinyl	Japan	Columbia/ Ariola	YX-7219 K	1978
Vinyl	Yugoslavia	RTB	5926	1978
Vinyl	United States	Chrysalis	CHR 1184	1978
Vinyl	Argentina	RCA	4658	1978
Vinyl	Canada	Epic	PEC 90496	1979
Vinyl	Australia	RCA	VPL 14076	1979
Vinyl	South Africa	Ariola	ARD 2501	1979
CD	Germany	BMG-Ariola	262 819	1992
