Week	Date	Result	Record	Opponent	Points For	Points Against	First Downs	Attendance
1	September 19	Win	1–0	at Buffalo Bills	49	37	19	46206
2	September 26	Win	2–0	at Philadelphia Eagles	42	7	23	65358
3	October 3	Loss	2–1	Washington Redskins	16	20	20	61554
4	October 11	Win	3–1	New York Giants	20	13	21	68378
5	October 17	Loss	3–2	at New Orleans Saints	14	24	20	83088
6	October 24	Win	4–2	New England Patriots	44	21	20	65708
7	October 31	Loss	4–3	at Chicago Bears	19	23	26	55049
8	November 7	Win	5–3	at St. Louis Cardinals	16	13	20	50486
9	November 14	Win	6–3	Philadelphia Eagles	20	7	21	60178
10	November 21	Win	7–3	at Washington Redskins	13	0	16	53041
11	November 25	Win	8–3	Los Angeles Rams	28	21	15	66595
12	December 4	Win	9–3	New York Jets	52	10	26	66689
13	December 12	Win	10–3	at New York Giants	42	14	23	62815
