Date	Tournament	Winning score	Margin of victory	Runner(s)-up
Jul 8, 1962	Kelly Girls Open	–7 (73-73-69=215)	1 stroke	Sandra Haynie
Oct 14, 1962	Phoenix Thunderbird Open	–3 (72-71-70=213)	4 strokes	Mickey Wright
Jun 30, 1963	Carvel Ladies Open	–2 (72-74-71=217)	1 stroke	Marilynn Smith
Jul 28, 1963	Wolverine Open	–9 (72-64-62=198)	5 strokes	Betsy Rawls
Aug 4, 1963	Milwaukee Jaycee Open	–2 (70-73-73-70=286)	7 strokes	Jackie Pung , Louise Suggs
Aug 25, 1963	Ogden Ladies' Open	–5 (69-75-71=215)	5 strokes	Mickey Wright
Sep 8, 1963	Spokane Women's Open	–3 (67-70-73=210)	2 strokes	Marilynn Smith
Oct 20, 1963	Hillside Open	Even (70-72-77=219)	4 strokes	Mickey Wright
Nov 10, 1963	San Antonio Civitan Open	+7 (73-73-78-75=299)	Playoff	Mickey Wright
Nov 17, 1963	Mary Mills Mississippi Gulf Coast Invitational	Even (72-77-70=219)	4 strokes	Mickey Wright
Jul 5, 1964	San Antonio Civitan Open	–5 (70-72-71-70=283)	3 strokes	Marlene Hagge
Mar 21, 1965	St. Petersburg Open	–7 (70-66-71-74=281)	4 strokes	Sandra Haynie
May 2, 1965	Shreveport Kiwanis Invitational	–6 (70-70-70=210)	6 strokes	Patty Berg
Jun 6, 1965	Blue Grass Invitational	–3 (70-69-74=213)	4 strokes	Clifford Ann Creed
Aug 1, 1965	Lady Carling Midwest Open	Even (72-77-70=219)	1 stroke	Sandra Haynie
Jul 18, 1965	Yankee Open	–3 (73-68-72=213)	2 strokes	Carol Mann
Jul 25, 1965	Buckeye Savings Invitational	–6 (70-67-70=207)	1 stroke	Susan Maxwell-Berning
Oct 3, 1965	Mickey Wright Invitational	–9 (68-73-71-71=283)	6 strokes	Donna Caponi
Nov 28, 1965	Titleholders Championship	–1 (71-71-74-71=287)	10 strokes	Peggy Wilson
May 8, 1966	Tall City Open	–5 (67-70-71=208)	1 stroke	Mickey Wright
Jun 5, 1966	Clayton Federal Invitational	+1 (68-72-68=208)	4 strokes	Shirley Englehorn
Jun 19, 1966	Milwaukee Jaycee Open	–7 (68-71-69-65=273)	12 strokes	Sandra Haynie
Jul 30, 1966	Supertest Ladies Open	–3 (71-70-72=213)	3 strokes	Mickey Wright
Aug 7, 1966	Lady Carling Open (Massachusetts)	–5 (74-73-70=217)	1 stroke	Carol Mann
Aug 13, 1966	Lady Carling Open (Maryland)	–2 (70-71-73=214)	3 strokes	Peggy Wilson
Oct 30, 1966	Las Cruces Ladies Open	–2 (69-71-74=214)	6 strokes	Marilynn Smith
Nov 6, 1966	Amarillo Ladies' Open	+2 (76-71-68=215)	Playoff	Mickey Wright
Nov 27, 1966	Titleholders Championship	+3 (74-70-74-73=291)	2 strokes	Judy Kimball-Simon , Mary Mills
