No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (millions)
133	1	"The Ticket"	Christopher Misiano	Debora Cahn	September25,2005	2T6201	8.90
134	2	"The Mommy Problem"	Alex Graves	Eli Attie	October2,2005	2T6202	7.66
135	3	"Message of the Week"	Christopher Misiano	Lawrence O'Donnell, Jr.	October9,2005	2T6203	7.95
136	4	"Mr. Frost"	Andrew Bernstein	Alex Graves	October16,2005	2T6204	8.15
137	5	"Here Today"	Alex Graves	Peter Noah	October23,2005	2T6205	7.85
138	6	"The Al Smith Dinner"	Lesli Linka Glatter	Eli Attie	October30,2005	2T6206	8.51
139	7	"The Debate"	Alex Graves	Lawrence O'Donnell, Jr.	November6,2005	2T6207	9.58
140	8	"Undecideds"	Christopher Misiano	Debora Cahn	December4,2005	2T6208	7.26
141	9	"The Wedding"	Max Mayer	Josh Singer	December11,2005	2T6209	8.13
142	10	"Running Mates"	Paul McCrane	Peter Noah	January8,2006	2T6210	11.74
143	11	"Internal Displacement"	Andrew Bernstein	Bradley Whitford	January15,2006	2T6211	6.36
144	12	"Duck and Cover"	Christopher Misiano	Eli Attie	January22,2006	2T6212	7.71
146	14	"Two Weeks Out"	Laura Innes	Lawrence O'Donnell, Jr.	March19,2006	2T6214	8.07
147	15	"Welcome to Wherever You Are"	Matia Karrell	Josh Singer	March26,2006	2T6215	7.90
148	16	"Election Day Part I"	Mimi Leder	Lauren Schmidt	April2,2006	2T6216	7.27
149	17	"Election Day Part II"	Christopher Misiano	Eli Attie & John Wells	April9,2006	2T6217	8.39
150	18	"Requiem"	Steve Shill	Eli Attie, Debora Cahn & John Wells	April16,2006	2T6218	8.29
151	19	"Transition"	Nelson McCormick	Peter Noah	April23,2006	2T6219	8.42
152	20	"The Last Hurrah"	Tim Matheson	Lawrence O'Donnell, Jr.	April30,2006	2T6220	8.34
153	21	"Institutional Memory"	Lesli Linka Glatter	Debora Cahn	May7,2006	2T6221	7.94
