Place	Player	Country	Score	To par	Money ( $ )
1	Bernhard Langer	Germany	68-70-69-70=277	–11	306,000
2	Chip Beck	United States	72-67-72-70=281	–7	183,600
T3	John Daly	United States	70-71-73-69=283	–5	81,600
T3	Steve Elkington	Australia	71-70-71-71=283	–5	81,600
T3	Tom Lehman	United States	67-75-73-68=283	–5	81,600
T3	Lanny Wadkins	United States	69-72-71-71=283	–5	81,600
T7	Dan Forsman	United States	69-69-73-73=284	–4	54,850
T7	José María Olazábal	Spain	70-72-74-68=284	–4	54,850
T9	Brad Faxon	United States	71-70-72-72=285	–3	47,600
T9	Payne Stewart	United States	74-70-72-69=285	–3	47,600
