Position	Team	Points	Played	Drawn	Lost	Against	Difference
1	Corinthians	44	26	4	2	33	61
2	São Paulo da Floresta	40	26	10	1	27	47
3	Palestra Itália-SP	40	26	6	3	27	58
4	Santos	40	26	4	4	38	42
5	Portuguesa	30	26	4	9	56	11
6	Guarani	29	26	3	10	52	14
7	SC Internacional de São Paulo	25	26	5	11	43	2
8	Atlético Santista	22	26	4	13	65	- 12
9	Juventus	21	26	1	15	61	- 22
10	Sírio	21	26	3	14	60	5
11	CS América	16	26	2	17	73	- 40
12	Ypiranga-SP	11	26	3	19	100	- 71
13	Germânia	11	26	1	20	79	- 35
14	AA São Bento	11	26	3	19	94	- 60
