Military deaths	Civilian deaths	Total deaths (not including foreigners)	Military and/or Civilian wounded	Total casualties
4,000	2,400	6,373	15,000	21,400
Unknown	Unknown	400-967	900 -1,300	1,300–2,267
Unknown	Unknown	178	1,574+	1,752+
Unknown	Unknown	567	Unknown	Unknown
231	None	231	899	1,130
1	0	1	10	11
776	None	776	4,517	5,293
1,424	127	1,551	2,700	4,251+
unknown	unknown	unknown	unknown	unknown
2,656	None	2,656	9,000	11,656
675	50	725	6,500	7,225
256	90	636	1,200	1,836
60	100	160	500	660
170	99	269	400	669
332	731	1,063	8,800	9,863
16	7	23	19	42
121	44	165	2,067	2,237
10 (4 by friendly fire )	3	13	518	531
13	33	46	312	358+
1	0	1	1	2
