Driver	Constructor	Laps	Time/Retired	Grid
Ayrton Senna	McLaren - Ford	71	1:51:15.485	3
Damon Hill	Williams - Renault	71	+16.625	2
Michael Schumacher	Benetton - Ford	71	+45.436	4
Johnny Herbert	Lotus - Ford	71	+46.557	12
Mark Blundell	Ligier - Renault	71	+52.127	10
Alessandro Zanardi	Lotus - Ford	70	+1 Lap	15
Philippe Alliot	Larrousse - Lamborghini	70	+1 Lap	11
Jean Alesi	Ferrari	70	+1 Lap	9
Derek Warwick	Footwork - Mugen-Honda	69	+2 Laps	18
Érik Comas	Larrousse - Lamborghini	69	+2 Laps	17
Michele Alboreto	Lola - Ferrari	68	+3 Laps	25
Luca Badoer	Lola - Ferrari	68	+3 Laps	21
Karl Wendlinger	Sauber	61	Engine	8
JJ Lehto	Sauber	52	Electrical	7
Andrea de Cesaris	Tyrrell - Yamaha	48	Fuel system	23
Alain Prost	Williams - Renault	29	Collision	1
Christian Fittipaldi	Minardi - Ford	28	Collision	20
Aguri Suzuki	Footwork - Mugen-Honda	27	Spun off	19
Ukyo Katayama	Tyrrell - Yamaha	26	Spun off	22
Rubens Barrichello	Jordan - Hart	13	Gearbox	14
Riccardo Patrese	Benetton - Ford	3	Suspension	6
Michael Andretti	McLaren - Ford	0	Collision	5
Gerhard Berger	Ferrari	0	Collision	13
Martin Brundle	Ligier - Renault	0	Collision	16
Fabrizio Barbazza	Minardi - Ford	0	Collision	24
Ivan Capelli	Jordan - Hart	0	Did not qualify	26
