Conference	Regular Season Winner	Conference Player of the Year	Conference Tournament	Tournament Venue (City)	Tournament Winner
Atlantic 10 Conference	Temple & Xavier	Kevin Anderson , Richmond	2010 Atlantic 10 Men's Basketball Tournament	Boardwalk Hall ( Atlantic City, New Jersey )	Temple
Atlantic Coast Conference	Duke & Maryland	Greivis Vasquez , Maryland	2010 ACC Men's Basketball Tournament	Greensboro Coliseum ( Greensboro, North Carolina )	Duke
Atlantic Sun Conference	Lipscomb , Belmont , Jacksonville & Campbell	Adnan Hodžić , Lipscomb	2010 Atlantic Sun Men's Basketball Tournament	University Center ( Macon, Georgia )	East Tennessee State
Big 12 Conference	Kansas	James Anderson , Oklahoma State	2010 Big 12 Men's Basketball Tournament	Sprint Center ( Kansas City, Missouri )	Kansas
Big East Conference	Syracuse	Wes Johnson , Syracuse	2010 Big East Men's Basketball Tournament	Madison Square Garden ( New York City, New York )	West Virginia
Colonial Athletic Association	Old Dominion	Charles Jenkins , Hofstra	2010 CAA Men's Basketball Tournament	Richmond Coliseum ( Richmond, Virginia )	Old Dominion
Conference USA	UTEP	Randy Culpepper , UTEP	2010 Conference USA Men's Basketball Tournament	BOK Center ( Tulsa, Oklahoma )	Houston
Independent	Seattle	Charles Garcia , Seattle	No Tournament	No Tournament	No Tournament
Ivy League	Cornell	Ryan Wittman , Cornell	No Tournament	No Tournament	No Tournament
Metro Atlantic Athletic Conference	Siena	Alex Franklin , Siena	2010 MAAC Men's Basketball Tournament	Times Union Center ( Albany, New York )	Siena
Mid-American Conference	Kent State (East) Central Michigan (West)	David Kool , Western Michigan	2010 MAC Men's Basketball Tournament	Quicken Loans Arena ( Cleveland, Ohio )	Ohio
Mountain West Conference	New Mexico	Darington Hobson , New Mexico	2010 MWC Men's Basketball Tournament	Thomas & Mack Center ( Paradise, Nevada )	San Diego State
Patriot League	Lehigh	C. J. McCollum , Lehigh	2010 Patriot League Men's Basketball Tournament	Campus Sites	Lehigh
Southwestern Athletic Conference	Jackson State	Garrison Johnson , Jackson State	2010 SWAC Men's Basketball Tournament	CenturyTel Center ( Bossier City, Louisiana )	Arkansas-Pine Bluff
The Summit League	Oakland	Keith Benson , Oakland	2010 Summit League Men's Basketball Tournament	Sioux Falls Arena ( Sioux Falls, South Dakota )	Oakland
Sun Belt Conference	Middle Tennessee & Troy (East) North Texas (West)	Tyren Johnson , Louisiana-Lafayette	2010 Sun Belt Men's Basketball Tournament	Summit Arena ( Hot Springs, Arkansas )	North Texas
