Rider	Bike	Laps	Time	Grid
Noriyuki Haga	Yamaha YZF-R1	14	27:26.594	4
Troy Corser	Yamaha YZF-R1	14	+0.150	6
Max Neukirchner	Suzuki GSX-R1000	14	+5.316	1
Troy Bayliss	Ducati 1098 F08	14	+7.651	2
Carlos Checa	Honda CBR1000RR	14	+7.951	3
Michel Fabrizio	Ducati 1098 F08	14	+9.027	5
Max Biaggi	Ducati 1098 RS 08	14	+9.420	8
Ruben Xaus	Ducati 1098 RS 08	14	+9.916	10
Fonsi Nieto	Suzuki GSX-R1000	14	+12.862	14
Régis Laconi	Kawasaki ZX-10R	14	+13.559	13
Ryuichi Kiyonari	Honda CBR1000RR	14	+13.960	12
Karl Muggeridge	Honda CBR1000RR	14	+16.172	9
Makoto Tamada	Kawasaki ZX-10R	14	+17.946	21
Gregorio Lavilla	Honda CBR1000RR	14	+22.815	18
David Checa	Yamaha YZF-R1	14	+23.758	17
Sébastien Gimbert	Yamaha YZF-R1	14	+24.127	15
Roberto Rolfo	Honda CBR1000RR	14	+24.421	25
Shinichi Nakatomi	Yamaha YZF-R1	14	+25.356	19
Russell Holland	Honda CBR1000RR	14	+25.729	23
Lorenzo Lanzi	Ducati 1098 F08	14	+28.846	7
Kenan Sofuoğlu	Honda CBR1000RR	14	+33.107	20
Loic Napoleone	Yamaha YZF-R1	14	+54.255	28
Jason Pridmore	Honda CBR1000RR	14	+1'04.877	27
Shuhei Aoyama	Honda CBR1000RR	13	+1 Lap	24
Jakub Smrz	Ducati 1098 F08	8	Accident	11
Ayrton Badovini	Kawasaki ZX-10R	5	Accident	22
Vittorio Iannuzzo	Kawasaki ZX-10R	5	Accident	26
