Rank	Nation	Gold	Silver	Bronze	Total
1	Russia	5	1	3	9
2	Japan	4	1	1	6
3	Bulgaria	2	2	1	5
3	China	2	2	1	5
5	Turkey	2	0	2	4
6	Cuba	1	3	2	6
7	Georgia	1	1	1	3
7	Iran	1	1	1	3
9	United States	1	0	6	7
10	Belarus	1	0	2	3
11	Uzbekistan	1	0	0	1
12	Hungary	0	4	3	7
13	South Korea	0	2	0	2
14	Ukraine	0	1	3	4
15	Canada	0	1	2	3
16	Denmark	0	1	0	1
16	France	0	1	0	1
18	Germany	0	0	2	2
18	Kazakhstan	0	0	2	2
18	Mongolia	0	0	2	2
18	North Korea	0	0	2	2
22	Armenia	0	0	1	1
22	Czech Republic	0	0	1	1
22	Finland	0	0	1	1
22	Kyrgyzstan	0	0	1	1
22	Norway	0	0	1	1
22	Romania	0	0	1	1
Total	Total	21	21	42	84
