Team	Location	Venue	Capacity	Avg. Attendance
Alemannia Aachen	Aachen	New Tivoli	32,900	23,199
Rot-Weiß Ahlen	Ahlen	Wersestadion	12,500	4,600
FC Augsburg	Augsburg	Impuls Arena	30,660	16,061
1. FC Union Berlin	Berlin	Alte Försterei	18,955	14,534
Arminia Bielefeld	Bielefeld	Schüco-Arena	27,300	16,055
FC Energie Cottbus	Cottbus	Stadion der Freundschaft	22,528	11,079
MSV Duisburg	Duisburg	MSV-Arena	31,500	14,498
Fortuna Düsseldorf	Düsseldorf	Esprit Arena	51,500	28,007
FSV Frankfurt	Frankfurt am Main	Frankfurter Volksbank-Stadion	10,826	5,256
SpVgg Greuther Fürth	Fürth	Playmobil-Stadion	15,200	6,319
1. FC Kaiserslautern	Kaiserslautern	Fritz Walter Stadion	48,500	31,360
Karlsruher SC	Karlsruhe	Wildparkstadion	29,699	18,178
TuS Koblenz	Koblenz	Stadion Oberwerth	15,000	7,346
TSV 1860 Munich	Munich	Allianz Arena	69,000	24,844
Rot-Weiß Oberhausen	Oberhausen	Niederrheinstadion	21,318	6,631
SC Paderborn 07	Paderborn	Energieteam Arena	15,000	9,005
F.C. Hansa Rostock	Rostock	DKB-Arena	29,000	13,800
FC St. Pauli	St. Pauli , Hamburg	Millerntor-Stadion	23,201	21,882
