Driver	Entrant	Constructor	Chassis	Engine	Tyre
Nello Pagani	Scuderia Achille Varzi	Maserati	Maserati 4CLT-48	Maserati L4s	P
Johnny Claes	Ecurie Belge	Talbot-Lago	Talbot-Lago T26C	Talbot L6	D
Yves Giraud-Cabantous	Automobiles Talbot-Darracq SA	Talbot-Lago	Talbot-Lago T26C-DA	Talbot L6	D
Eugène Martin	Automobiles Talbot-Darracq SA	Talbot-Lago	Talbot-Lago T26C-DA	Talbot L6	D
Louis Rosier	Automobiles Talbot-Darracq SA	Talbot-Lago	Talbot-Lago T26C-DA	Talbot L6	D
Luigi Fagioli	SA Alfa Romeo	Alfa Romeo	Alfa Romeo 158	Alfa Romeo L8s	P
Juan Manuel Fangio	SA Alfa Romeo	Alfa Romeo	Alfa Romeo 158	Alfa Romeo L8s	P
Nino Farina	SA Alfa Romeo	Alfa Romeo	Alfa Romeo 158	Alfa Romeo L8s	P
Alberto Ascari	Scuderia Ferrari	Ferrari	Ferrari 125	Ferrari V12s	P
Raymond Sommer	Scuderia Ferrari	Ferrari	Ferrari 125	Ferrari V12s	P
Luigi Villoresi	Scuderia Ferrari	Ferrari	Ferrari 125	Ferrari V12s	P
Peter Whitehead	Scuderia Ferrari	Ferrari	Ferrari 125	Ferrari V12s	P
Louis Chiron	Officine Alfieri Maserati	Maserati	Maserati 4CLT-48	Maserati L4s	P
Franco Rol	Officine Alfieri Maserati	Maserati	Maserati 4CLT-48	Maserati L4s	P
Prince Bira	Enrico Platé	Maserati	Maserati 4CLT-48	Maserati L4s	P
Toulo de Graffenried	Enrico Platé	Maserati	Maserati 4CLT-48	Maserati L4s	P
Felice Bonetto	Scuderia Milano	Maserati	Maserati Milano 4CLT-50	Maserati L4s	P
Reg Parnell	Scuderia Ambrosiana	Maserati	Maserati 4CLT-48	Maserati L4s	D
Rudi Fischer	Ecurie Espadon	SVA - Fiat	SVA 1500	Fiat L4s	P
Toni Branca	Private	Maserati	Maserati 4CL	Maserati L4s	P
Philippe Étancelin	Private	Talbot-Lago	Talbot-Lago T26C	Talbot L6	D
Harry Schell	Ecurie Bleue	Talbot-Lago	Talbot-Lago T26C	Talbot L6	D
