Week	Date	Opponent	Result	TV Time	Attendance
1	September 8, 2002	Detroit Lions	W 49–21	FOX 1:00pm	72,216
2	September 15, 2002	at Indianapolis Colts	W 21–13	CBS 1:00pm	56,650
3	September 22, 2002	New York Jets	W 30–3	CBS 1:00pm	73,426
4	September 29, 2002	at Kansas City Chiefs	L 48–30	CBS 1:00pm	78,178
5	October 6, 2002	New England Patriots	W 26–13	CBS 1:00pm	73,369
6	October 13, 2002	at Denver Broncos	W 24–22	ESPN 8:30pm	75,941
7	October 20, 2002	Buffalo Bills	L 23–10	CBS 1:00pm	73,180
8	Bye	Bye	Bye	Bye	Bye
9	November 4, 2002	at Green Bay Packers	L 24–10	ABC 9:00pm	63,284
10	November 10, 2002	at New York Jets	L 13–10	ESPN 8:30pm	78,920
11	November 17, 2002	Baltimore Ravens	W 26–7	CBS 4:15pm	73,013
12	November 24, 2002	San Diego Chargers	W 30–3	CBS 1:00pm	73,138
13	December 1, 2002	at Buffalo Bills	L 38–21	CBS 1:00pm	73,287
14	December 9, 2002	Chicago Bears	W 27–9	ABC 9:00pm	73,609
15	December 15, 2002	Oakland Raiders	W 23–17	CBS 1:00pm	73,572
16	December 21, 2002	at Minnesota Vikings	L 20–17	CBS 12:30pm	64,285
17	December 29, 2002	at New England Patriots	L 27–24	CBS 1:00pm	68,436
